left,label,right
Mexico,=== MATCH 1 ===,South Africa
17,WCs,3
0,Won,0
6.5,High,24
17.2,Avg,24
60,GP,9
17,W,2
15,D,4
28,L,3
62,GF,11
1.03,GFpg,1.22
101,GA,16
1.68,GApg,1.78
66,P,10
1.1,PPG,1.11
,-- H2H --,
1,H2H GP,1
0,H2H W,0
1,H2H D,1
0,H2H L,0
1,H2H GF,1
1,H2H GA,1
,,
South Korea,=== MATCH 2 ===,Czech Republic
11,WCs,1
0,Won,0
3.5,High,24
20.0,Avg,24
38,GP,3
7,W,1
10,D,0
21,L,2
39,GF,3
1.03,GFpg,1.0
78,GA,4
2.05,GApg,1.33
31,P,3
0.82,PPG,1.0
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Canada,=== MATCH 3 ===,Bosnia & Herzegovina
2,WCs,1
0,Won,0
24,High,24
24,Avg,24
6,GP,3
0,W,1
0,D,0
6,L,2
2,GF,4
0.33,GFpg,1.33
12,GA,4
2.0,GApg,1.33
0,P,3
0.0,PPG,1.0
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
USA,=== MATCH 4 ===,Paraguay
11,WCs,8
0,Won,0
3.5,High,6.5
15.3,Avg,17.5
37,GP,27
9,W,7
8,D,10
20,L,10
40,GF,30
1.08,GFpg,1.11
66,GA,38
1.78,GApg,1.41
35,P,31
0.95,PPG,1.15
,-- H2H --,
1,H2H GP,1
1,H2H W,0
0,H2H D,0
0,H2H L,1
3,H2H GF,0
0,H2H GA,3
,,
Qatar,=== MATCH 5 ===,Switzerland
1,WCs,12
0,Won,0
24,High,6.5
24,Avg,14.8
3,GP,40
0,W,13
0,D,8
3,L,19
1,GF,51
0.33,GFpg,1.27
7,GA,71
2.33,GApg,1.77
0,P,47
0.0,PPG,1.18
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Brazil,=== MATCH 6 ===,Morocco
22,WCs,6
5,Won,0
1,High,3.5
8.6,Avg,18.7
113,GP,23
75,W,5
19,D,7
19,L,11
235,GF,20
2.08,GFpg,0.87
107,GA,27
0.95,GApg,1.17
244,P,22
2.16,PPG,0.96
,-- H2H --,
1,H2H GP,1
1,H2H W,0
0,H2H D,0
0,H2H L,1
3,H2H GF,0
0,H2H GA,3
,,
Haiti,=== MATCH 7 ===,Scotland
1,WCs,8
0,Won,0
24,High,24
24,Avg,24
3,GP,23
0,W,4
0,D,7
3,L,12
2,GF,25
0.67,GFpg,1.09
14,GA,41
4.67,GApg,1.78
0,P,19
0.0,PPG,0.83
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Australia,=== MATCH 8 ===,Turkey
6,WCs,2
0,Won,0
12.5,High,3.5
20.2,Avg,13.8
20,GP,10
4,W,5
4,D,1
12,L,4
17,GF,20
0.85,GFpg,2.0
37,GA,17
1.85,GApg,1.7
16,P,16
0.8,PPG,1.6
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Germany,=== MATCH 9 ===,Curacao
20,WCs,0
4,Won,0
1,High,0
6.1,Avg,0
111,GP,0
68,W,0
21,D,0
22,L,0
230,GF,0
2.07,GFpg,0
126,GA,0
1.14,GApg,0
225,P,0
2.03,PPG,0
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Netherlands,=== MATCH 10 ===,Japan
11,WCs,7
0,Won,0
2,High,12.5
6.9,Avg,17.4
55,GP,25
30,W,7
14,D,6
11,L,12
96,GF,25
1.75,GFpg,1.0
52,GA,33
0.95,GApg,1.32
104,P,27
1.89,PPG,1.08
,-- H2H --,
1,H2H GP,1
1,H2H W,0
0,H2H D,0
0,H2H L,1
1,H2H GF,0
0,H2H GA,1
,,
Ivory Coast,=== MATCH 11 ===,Ecuador
3,WCs,4
0,Won,0
24,High,12.5
24,Avg,21.1
9,GP,13
3,W,5
1,D,2
5,L,6
13,GF,14
1.44,GFpg,1.08
14,GA,14
1.56,GApg,1.08
10,P,17
1.11,PPG,1.31
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Sweden,=== MATCH 12 ===,Tunisia
12,WCs,6
0,Won,0
2,High,24
13.0,Avg,24
51,GP,18
19,W,3
13,D,5
19,L,10
80,GF,14
1.57,GFpg,0.78
73,GA,26
1.43,GApg,1.44
70,P,14
1.37,PPG,0.78
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Spain,=== MATCH 13 ===,Cape Verde
