Stat,Team A,Team B
MATCH 1,Mexico,South Africa
,Mexico,South Africa
WCs,17,3
High,6.5,24
Avg,17.2,24
GP,60,9
W,17,2
D,15,4
L,28,3
GF,62,11
GA,101,16
P,66,10
PPG,1.1,1.11
— H2H —,,
GP,1,1
W,0,0
D,1,1
L,0,0
GF,1,1
GA,1,1
,,
MATCH 2,South Korea,Czech Republic
,South Korea,Czech Republic
WCs,11,1
High,3.5,24
Avg,20.0,24
GP,38,3
W,7,1
D,10,0
L,21,2
GF,39,3
GA,78,4
P,31,3
PPG,0.82,1.0
— H2H —,,
GP,0,0
W,0,0
D,0,0
L,0,0
GF,0,0
GA,0,0
,,
MATCH 3,Canada,Bosnia & Herzegovina
,Canada,Bosnia & Herzegovina
WCs,2,1
High,24,24
Avg,24,24
GP,6,3
W,0,1
D,0,0
L,6,2
GF,2,4
GA,12,4
P,0,3
PPG,0.0,1.0
— H2H —,,
GP,0,0
W,0,0
D,0,0
L,0,0
GF,0,0
GA,0,0
,,
MATCH 4,USA,Paraguay
,USA,Paraguay
WCs,11,8
High,3.5,6.5
Avg,15.3,17.5
GP,37,27
W,9,7
D,8,10
L,20,10
GF,40,30
GA,66,38
P,35,31
PPG,0.95,1.15
— H2H —,,
GP,1,1
W,1,0
D,0,0
L,0,1
GF,3,0
GA,0,3
,,
MATCH 5,Qatar,Switzerland
,Qatar,Switzerland
WCs,1,12
High,24,6.5
Avg,24,14.8
GP,3,40
W,0,13
D,0,8
L,3,19
GF,1,51
GA,7,71
P,0,47
PPG,0.0,1.18
— H2H —,,
GP,0,0
W,0,0
D,0,0
L,0,0
GF,0,0
GA,0,0
,,
MATCH 6,Brazil,Morocco
,Brazil,Morocco
WCs,22,6
High,1,3.5
Avg,8.6,18.7
GP,113,23
W,75,5
D,19,7
L,19,11
GF,235,20
GA,107,27
P,244,22
PPG,2.16,0.96
— H2H —,,
GP,1,1
W,1,0
D,0,0
L,0,1
GF,3,0
GA,0,3
,,
MATCH 7,Haiti,Scotland
,Haiti,Scotland
WCs,1,8
High,24,24
Avg,24,24
GP,3,23
W,0,4
D,0,7
L,3,12
GF,2,25
GA,14,41
P,0,19
PPG,0.0,0.83
— H2H —,,
GP,0,0
W,0,0
D,0,0
L,0,0
GF,0,0
GA,0,0
,,
MATCH 8,Australia,Turkey
,Australia,Turkey
WCs,6,2
High,12.5,3.5
Avg,20.2,13.8
GP,20,10
W,4,5
D,4,1
L,12,4
GF,17,20
GA,37,17
P,16,16
PPG,0.8,1.6
— H2H —,,
GP,0,0
W,0,0
D,0,0
L,0,0
GF,0,0
GA,0,0
,,
MATCH 9,Germany,Curacao
,Germany,Curacao
WCs,20,0
High,1,0
Avg,6.1,0
GP,111,0
W,68,0
D,21,0
L,22,0
GF,230,0
GA,126,0
P,225,0
PPG,2.03,0
— H2H —,,
GP,0,0
W,0,0
D,0,0
L,0,0
GF,0,0
GA,0,0
,,
MATCH 10,Netherlands,Japan
,Netherlands,Japan
WCs,11,7
High,2,12.5
Avg,6.9,17.4
GP,55,25
W,30,7
D,14,6
L,11,12
GF,96,25
GA,52,33
P,104,27
PPG,1.89,1.08
— H2H —,,
GP,1,1
W,1,0
D,0,0
L,0,1
GF,1,0
GA,0,1
,,
MATCH 11,Ivory Coast,Ecuador
,Ivory Coast,Ecuador
WCs,3,4
High,24,12.5
Avg,24,21.1
GP,9,13
W,3,5
D,1,2
L,5,6
GF,13,14
GA,14,14
P,10,17
PPG,1.11,1.31
— H2H —,,
GP,0,0
W,0,0
D,0,0
L,0,0
GF,0,0
GA,0,0
,,
MATCH 12,Sweden,Tunisia
,Sweden,Tunisia
WCs,12,6
High,2,24
Avg,13.0,24
GP,51,18
W,19,3
D,13,5
L,19,10
GF,80,14
GA,73,26
P,70,14
PPG,1.37,0.78
— H2H —,,
GP,0,0
W,0,0
D,0,0
L,0,0
GF,0,0
GA,0,0
,,
MATCH 13,Spain,Cape Verde
,Spain,Cape Verde
WCs,16,0
High,1,0
Avg,14.6,0
GP,66,0
W,31,0
D,17,0
L,18,0
GF,108,0
GA,74,0
P,110,0
PPG,1.67,0
— H2H —,,
GP,0,0
W,0,0
D,0,0
L,0,0
GF,0,0
GA,0,0
,,
MATCH 14,Belgium,Egypt
,Belgium,Egypt
WCs,14,3
High,3.5,12.5
Avg,14.9,20.2
GP,51,7
W,21,0
D,10,2
L,20,5
GF,69,5
GA,74,12
P,73,2
PPG,1.43,0.29
— H2H —,,
GP,0,0
W,0,0
D,0,0
L,0,0
GF,0,0
GA,0,0
,,
MATCH 15,Saudi Arabia,Uruguay
,Saudi Arabia,Uruguay
WCs,6,14
High,12.5,1
Avg,22.1,13.0
GP,19,59
W,4,25
D,2,13
L,13,21
GF,14,89
GA,44,76
P,14,88
PPG,0.74,1.49
— H2H —,,
GP,1,1
W,0,1
D,0,0
L,1,0
GF,0,1
GA,1,0
,,
MATCH 16,Iran,New Zealand
,Iran,New Zealand
WCs,6,2
High,24,24
Avg,24,24
GP,18,6
W,3,0
D,4,3
L,11,3
GF,13,4
GA,31,14
P,13,3
PPG,0.72,0.5
— H2H —,,
GP,0,0
W,0,0
D,0,0
L,0,0
GF,0,0
GA,0,0
,,
MATCH 17,France,Senegal
,France,Senegal
WCs,16,3
High,1,6.5
Avg,11.6,14.3
GP,73,12
W,39,5
D,14,3
L,20,4
GF,136,16
GA,85,17
P,131,18
PPG,1.79,1.5
— H2H —,,
GP,1,1
W,0,1
D,0,0
L,1,0
GF,0,1
GA,1,0
,,
MATCH 18,Iraq,Norway
,Iraq,Norway
WCs,1,3
High,24,12.5
Avg,24,16.3
GP,3,8
W,0,2
D,0,3
L,3,3
GF,1,7
GA,4,8
P,0,9
PPG,0.0,1.12
— H2H —,,
GP,0,0
W,0,0
D,0,0
L,0,0
GF,0,0
GA,0,0
,,
MATCH 19,Argentina,Algeria
,Argentina,Algeria
WCs,18,4
High,1,12.5
Avg,9.5,21.1
GP,88,13
W,47,3
D,17,3
L,24,7
GF,152,13
GA,101,19
P,158,12
PPG,1.8,0.92
— H2H —,,
GP,0,0
W,0,0
D,0,0
L,0,0
GF,0,0
GA,0,0
,,
MATCH 20,Austria,Jordan
,Austria,Jordan
WCs,7,0
High,3.5,0
Avg,14.9,0
GP,29,0
W,12,0
D,4,0
L,13,0
GF,43,0
GA,47,0
P,40,0
PPG,1.38,0
— H2H —,,
GP,0,0
W,0,0
D,0,0
L,0,0
GF,0,0
GA,0,0
,,
MATCH 21,Portugal,DR Congo
,Portugal,DR Congo
WCs,8,1
High,3.5,24
Avg,13.8,24
GP,35,3
W,17,0
D,6,0
L,12,3
GF,61,0
GA,41,14
P,57,0
PPG,1.63,0.0
— H2H —,,
GP,0,0
W,0,0
D,0,0
L,0,0
GF,0,0
GA,0,0
,,
MATCH 22,England,Croatia
,England,Croatia
WCs,16,6
High,1,2
Avg,10.2,13.5
GP,74,30
W,32,13
D,22,8
L,20,9
GF,104,43
GA,68,33
P,118,47
PPG,1.59,1.57
— H2H —,,
GP,1,1
W,0,1
D,0,0
L,1,0
GF,1,2
GA,2,1
,,
MATCH 23,Ghana,Panama
,Ghana,Panama
WCs,4,1
High,6.5,24
Avg,16.8,24
GP,15,3
W,5,0
D,3,0
L,7,3
GF,18,2
GA,23,11
P,18,0
PPG,1.2,0.0
— H2H —,,
GP,0,0
W,0,0
D,0,0
L,0,0
GF,0,0
GA,0,0
,,
MATCH 24,Uzbekistan,Colombia
,Uzbekistan,Colombia
WCs,0,6
High,0,6.5
Avg,0,17.2
GP,0,22
W,0,9
D,0,3
L,0,10
GF,0,32
GA,0,30
P,0,30
PPG,0,1.36
— H2H —,,
GP,0,0
W,0,0
D,0,0
L,0,0
GF,0,0
GA,0,0
,,
MATCH 25,Czech Republic,South Africa
,Czech Republic,South Africa
WCs,1,3
High,24,24
Avg,24,24
GP,3,9
W,1,2
D,0,4
L,2,3
GF,3,11
GA,4,16
P,3,10
PPG,1.0,1.11
— H2H —,,
GP,0,0
W,0,0
D,0,0
L,0,0
GF,0,0
GA,0,0
,,
MATCH 26,Switzerland,Bosnia & Herzegovina
,Switzerland,Bosnia & Herzegovina
WCs,12,1
High,6.5,24
Avg,14.8,24
GP,40,3
W,13,1
D,8,0
L,19,2
GF,51,4
GA,71,4
P,47,3
