match,slug,TEAM A,TEAM B,S0_stadium,S0_datetime,S1_WorldCups,S1_Won,S1_Best(Avg),S1_Played,S1_W,S1_D,S1_L,S1_GoalsFor(pg),S1_GoalsAgainst(pg),S1_Points(PPG),S2_H2H_W,S2_H2H_D,S2_H2H_L,S2_H2H_GF,S2_H2H_GA,S3_AllTime_A,S3_AllTime_B,S3_Watch_A,S3_Watch_B,S4_Headline_A,S4_Hook_A,S4_Headline_B,S4_Hook_B,S5_Coach_A,S5_XI_A,S5_Coach_B,S5_XI_B
1,m001-mexico-vs-south-africa,Mexico,South Africa,Estadio Azteca,June 11 2026 · 19:00 CET · 13:00 EST,17 | 3,0 | 0,6.5(17.2) | 24(24),60 | 9,17 | 2,15 | 4,28 | 3,62(1.03) | 11(1.22),101(1.68) | 16(1.78),66(1.1) | 10(1.11),0 | 0,1 | 1,0 | 0,1 | 1,1 | 1,"Luis Hernández (4), Javier Hernández (4)","Benni McCarthy (2), Shaun Bartlett (2)","Sánchez, Gallardo","Mokoena, Williams",17 TRIES · NEVER PAST THE QUARTERS,WHO STEPS UP?,3 WORLD CUPS · OUT TO MAKE THEIR MARK,ALL TO PLAY FOR,Javier Aguirre,13 Ochoa · 3 Sánchez · 5 Montes · 4 Vásquez · 23 Gallardo · 4 Edson Álvarez · 14 Chávez · 22 Lozano · 16 Pizarro · 10 Vega · 9 Giménez,Hugo Broos,16 Williams · 2 Mudau · 5 Mbekile · 4 Modiba · 3 Mobbie · 8 Mokoena · 6 Sithebe · 18 Zwane · 11 Tau · 10 Mofokeng · 9 Foster
2,m002-south-korea-vs-czech-republic,South Korea,Czech Republic,Estadio Akron,June 12 2026,11 | 1,0 | 0,3.5(20.0) | 24(24),38 | 3,7 | 1,10 | 0,21 | 2,39(1.03) | 3(1.0),78(2.05) | 4(1.33),31(0.82) | 3(1.0),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Jung-hwan Ahn (3), Ji-sung Park (3)","Tomáš Rosický (2), Jan Koller (1)","Heung-min Son, Heung-min Son (3)",", Tomáš Rosický (2)",SEMI-FINALISTS · THE NEARLY MEN,SON CARRIES KOREA'S HOPES,ON THE GREATEST STAGE,OUT TO MAKE THEIR MARK,,,,
3,m003-canada-vs-bosnia-herzegovina,Canada,Bosnia & Herzegovina,BMO Field,June 12 2026,2 | 1,0 | 0,24(24) | 24(24),6 | 3,0 | 1,0 | 0,6 | 2,2(0.33) | 4(1.33),12(2.0) | 4(1.33),0(0.0) | 3(1.0),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Alphonso Davies (1), ","Sead Kolašinac (1), Vedad Ibišević (1)",", Alphonso Davies (1)",", Sead Kolašinac (1)",2 WORLD CUPS · OUT TO MAKE THEIR MARK,THE BIG STAGE AWAITS,ON THE GREATEST STAGE,EYES ON THE FINAL SQUAD,,,,
4,m004-usa-vs-paraguay,USA,Paraguay,SoFi Stadium,June 13 2026,11 | 8,0 | 0,3.5(15.3) | 6.5(17.5),37 | 27,9 | 7,8 | 10,20 | 10,40(1.08) | 30(1.11),66(1.78) | 38(1.41),35(0.95) | 31(1.15),1 | 0,0 | 0,0 | 1,3 | 0,0 | 3,"Landon Donovan (5), Bert Patenaude (4)","Nelson Cuevas (3), Florencio Amarilla (2)",", Timothy Weah (1)",", Nelson Cuevas (3)",SEMI-FINALISTS · THE NEARLY MEN,ALL TO PLAY FOR,QUARTER-FINALS THEIR FINEST HOUR,THE BIG STAGE AWAITS,,,,
5,m005-qatar-vs-switzerland,Qatar,Switzerland,Levi's Stadium,June 13 2026,1 | 12,0 | 0,24(24) | 6.5(14.8),3 | 40,0 | 13,0 | 8,3 | 19,1(0.33) | 51(1.27),7(2.33) | 71(1.77),0(0.0) | 47(1.18),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Mohammed Muntari (1), ","Josef Hügi (6), Xherdan Shaqiri (5)",", Mohammed Muntari (1)",", Xherdan Shaqiri (5)",ON THE GREATEST STAGE,WHO STEPS UP?,12 TRIES · NEVER PAST THE QUARTERS,ALL TO PLAY FOR,,,,
6,m006-brazil-vs-morocco,Brazil,Morocco,MetLife Stadium,June 13 2026,22 | 6,5 | 0,1(8.6) | 3.5(18.7),113 | 23,75 | 5,19 | 7,19 | 11,235(2.08) | 20(0.87),107(0.95) | 27(1.17),244(2.16) | 22(0.96),1 | 0,0 | 0,0 | 1,3 | 0,0 | 3,"Ronaldo (15), Pelé (12)","Youssef En-Nesyri (3), Abderrazak Khairi (2)","Vinicius Junior, Neymar (8)",", Youssef En-Nesyri (3)",5-TIME WORLD CHAMPIONS,VINI JR. — THE NEW KING?,SEMI-FINALISTS · THE NEARLY MEN,READY FOR THE STAGE,,,,
7,m007-haiti-vs-scotland,Haiti,Scotland,Gillette Stadium,June 14 2026,1 | 8,0 | 0,24(24) | 24(24),3 | 23,0 | 4,0 | 7,3 | 12,2(0.67) | 25(1.09),14(4.67) | 41(1.78),0(0.0) | 19(0.83),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Emmanuel Sanon (2), ","Joe Jordan (4), Kenny Dalglish (2)",", Emmanuel Sanon (2)",", Joe Jordan (4)",ON THE GREATEST STAGE,OUT TO MAKE THEIR MARK,8 TRIES · CHASING A FIRST KNOCKOUT,READY FOR THE STAGE,,,,
8,m008-australia-vs-turkey,Australia,Turkey,BC Place,June 14 2026,6 | 2,0 | 0,12.5(20.2) | 3.5(13.8),20 | 10,4 | 5,4 | 1,12 | 4,17(0.85) | 20(2.0),37(1.85) | 17(1.7),16(0.8) | 16(1.6),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Tim Cahill (5), Mile Jedinak (3)","Suat Mamat (3), Burhan Sargun (3)",", Mile Jedinak (3)","Arda Güler, Suat Mamat (3)",ROUND OF 16 · OUT TO GO FURTHER,THE BIG STAGE AWAITS,SEMI-FINALISTS · THE NEARLY MEN,CAN ARDA SHINE AGAIN?,,,,
9,m009-germany-vs-curacao,Germany,Curacao,NRG Stadium,June 14 2026,20 | 0,4 | 0,1(6.1) | 0(0),111 | 0,68 | 0,21 | 0,22 | 0,230(2.07) | 0(0),126(1.14) | 0(0),225(2.03) | 0(0),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Miroslav Klose (16), Gerd Müller (14)",", ",", Toni Kroos (3)",", ",4-TIME WORLD CHAMPIONS,OUT TO MAKE THEIR MARK,FIRST-EVER WORLD CUP,EYES ON THE FINAL SQUAD,,,,
10,m010-netherlands-vs-japan,Netherlands,Japan,AT&T Stadium,June 14 2026,11 | 7,0 | 0,2(6.9) | 12.5(17.4),55 | 25,30 | 7,14 | 6,11 | 12,96(1.75) | 25(1.0),52(0.95) | 33(1.32),104(1.89) | 27(1.08),1 | 0,0 | 0,0 | 1,1 | 0,0 | 1,"Johnny Rep (7), Rob Rensenbrink (6)","Keisuke Honda (4), Junichi Inamoto (2)",", Memphis Depay (3)",", Keisuke Honda (4)",RUNNERS-UP ONCE · STILL CHASING THE CROWN,THE BIG STAGE AWAITS,ROUND OF 16 · OUT TO GO FURTHER,THE BIG STAGE AWAITS,,,,
