code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
ARG,Argentina,1930,group,1,France,FRA,1,0,W,,
ARG,Argentina,1930,group,2,Mexico,MEX,6,3,W,,
ARG,Argentina,1930,group,3,Chile,CHL,3,1,W,,
ARG,Argentina,1930,sf,4,United States,USA,6,1,W,,
ARG,Argentina,1930,final,5,Uruguay,URU,2,4,L,,
ARG,Argentina,1934,r16,6,Sweden,SWE,2,3,L,,
ARG,Argentina,1958,group,7,West Germany,GER,1,3,L,,
ARG,Argentina,1958,group,8,Northern Ireland,NIR,3,1,W,,
ARG,Argentina,1958,group,9,Czechoslovakia,CSK,1,6,L,,
ARG,Argentina,1962,group,10,Bulgaria,BGR,1,0,W,,
ARG,Argentina,1962,group,11,England,ENG,1,3,L,,
ARG,Argentina,1962,group,12,Hungary,HUN,0,0,D,,
ARG,Argentina,1966,group,13,Spain,ESP,2,1,W,,
ARG,Argentina,1966,group,14,West Germany,GER,0,0,D,,
ARG,Argentina,1966,group,15,Switzerland,SUI,2,0,W,,
ARG,Argentina,1966,qf,16,England,ENG,0,1,L,,
ARG,Argentina,1974,group,17,Poland,POL,2,3,L,,
ARG,Argentina,1974,group,18,Italy,ITA,1,1,D,,
ARG,Argentina,1974,group,19,Haiti,HTI,4,1,W,,
ARG,Argentina,1974,group2,20,Netherlands,NED,0,4,L,,
ARG,Argentina,1974,group2,21,Brazil,BRA,1,2,L,,
ARG,Argentina,1974,group2,22,East Germany,DDR,1,1,D,,
ARG,Argentina,1978,group,23,Hungary,HUN,2,1,W,,
ARG,Argentina,1978,group,24,France,FRA,2,1,W,,
ARG,Argentina,1978,group,25,Italy,ITA,0,1,L,,
ARG,Argentina,1978,group2,26,Poland,POL,2,0,W,,
ARG,Argentina,1978,group2,27,Brazil,BRA,0,0,D,,
ARG,Argentina,1978,group2,28,Peru,PER,6,0,W,,
ARG,Argentina,1978,final,29,Netherlands,NED,3,1,W,,
ARG,Argentina,1982,group,30,Belgium,BEL,0,1,L,,
ARG,Argentina,1982,group,31,Hungary,HUN,4,1,W,,
ARG,Argentina,1982,group,32,El Salvador,SLV,2,0,W,,
ARG,Argentina,1982,group2,33,Italy,ITA,1,2,L,,
ARG,Argentina,1982,group2,34,Brazil,BRA,1,3,L,,
ARG,Argentina,1986,group,35,South Korea,KOR,3,1,W,,
ARG,Argentina,1986,group,36,Italy,ITA,1,1,D,,
ARG,Argentina,1986,group,37,Bulgaria,BGR,2,0,W,,
ARG,Argentina,1986,r16,38,Uruguay,URU,1,0,W,,
ARG,Argentina,1986,qf,39,England,ENG,2,1,W,,
ARG,Argentina,1986,sf,40,Belgium,BEL,2,0,W,,
ARG,Argentina,1986,final,41,West Germany,GER,3,2,W,,
ARG,Argentina,1990,group,42,Cameroon,CMR,0,1,L,,
ARG,Argentina,1990,group,43,Soviet Union,SUN,2,0,W,,
ARG,Argentina,1990,group,44,Romania,ROU,1,1,D,,
ARG,Argentina,1990,r16,45,Brazil,BRA,1,0,W,,
ARG,Argentina,1990,qf,46,Yugoslavia,YUG,0,0,D,,
ARG,Argentina,1990,sf,47,Italy,ITA,1,1,D,,
ARG,Argentina,1990,final,48,West Germany,GER,0,1,L,,
ARG,Argentina,1994,group,49,Greece,GRC,4,0,W,,
ARG,Argentina,1994,group,50,Nigeria,NGA,2,1,W,,
ARG,Argentina,1994,group,51,Bulgaria,BGR,0,2,L,,
ARG,Argentina,1994,r16,52,Romania,ROU,2,3,L,,
ARG,Argentina,1998,group,53,Japan,JPN,1,0,W,,
ARG,Argentina,1998,group,54,Jamaica,JAM,5,0,W,,
ARG,Argentina,1998,group,55,Croatia,CRO,1,0,W,,
ARG,Argentina,1998,r16,56,England,ENG,2,2,D,,
ARG,Argentina,1998,qf,57,Netherlands,NED,1,2,L,,
ARG,Argentina,2002,group,58,Nigeria,NGA,1,0,W,,
ARG,Argentina,2002,group,59,England,ENG,0,1,L,,
ARG,Argentina,2002,group,60,Sweden,SWE,1,1,D,,
ARG,Argentina,2006,group,61,Ivory Coast,CIV,2,1,W,,
ARG,Argentina,2006,group,62,Serbia and Montenegro,SCG,6,0,W,,
ARG,Argentina,2006,group,63,Netherlands,NED,0,0,D,,
ARG,Argentina,2006,r16,64,Mexico,MEX,2,1,W,,
ARG,Argentina,2006,qf,65,Germany,GER,1,1,D,,
ARG,Argentina,2010,group,66,Nigeria,NGA,1,0,W,,
ARG,Argentina,2010,group,67,South Korea,KOR,4,1,W,,
ARG,Argentina,2010,group,68,Greece,GRC,2,0,W,,
ARG,Argentina,2010,r16,69,Mexico,MEX,3,1,W,,
ARG,Argentina,2010,qf,70,Germany,GER,0,4,L,,
ARG,Argentina,2014,group,71,Bosnia and Herzegovina,BIH,2,1,W,,
ARG,Argentina,2014,group,72,Iran,IRN,1,0,W,,
ARG,Argentina,2014,group,73,Nigeria,NGA,3,2,W,,
ARG,Argentina,2014,r16,74,Switzerland,SUI,1,0,W,,
ARG,Argentina,2014,qf,75,Belgium,BEL,1,0,W,,
ARG,Argentina,2014,sf,76,Netherlands,NED,0,0,D,,
ARG,Argentina,2014,final,77,Germany,GER,0,1,L,,
ARG,Argentina,2018,group,78,Iceland,ISL,1,1,D,,
ARG,Argentina,2018,group,79,Croatia,CRO,0,3,L,,
ARG,Argentina,2018,group,80,Nigeria,NGA,2,1,W,,
ARG,Argentina,2018,r16,81,France,FRA,3,4,L,,
ARG,Argentina,2022,group,82,Saudi Arabia,KSA,1,2,L,,
ARG,Argentina,2022,group,83,Mexico,MEX,2,0,W,,
ARG,Argentina,2022,group,84,Poland,POL,2,0,W,,
ARG,Argentina,2022,r16,85,Australia,AUS,2,1,W,,
ARG,Argentina,2022,qf,86,Netherlands,NED,2,2,D,,
ARG,Argentina,2022,sf,87,Croatia,CRO,3,0,W,,
ARG,Argentina,2022,final,88,France,FRA,3,3,D,,
