code,player,wc_goals,wc_assists,wc_apps,years,note
ARG,Lionel Messi,13,,,2006;2014;2018;2022,
ARG,Gabriel Batistuta,10,,,1994;1998;2002,
ARG,Guillermo Stábile,8,,,1930,
ARG,Diego Maradona,8,,,1982;1986;1994,
ARG,Mario Kempes,6,,,1978,
ARG,Gonzalo Higuaín,5,,,2010;2014,
ARG,René Houseman,4,,,1974;1978,
ARG,Leopoldo Luque,4,,,1978,
ARG,Daniel Bertoni,4,,,1978;1982,
ARG,Jorge Valdano,4,,,1986,
ARG,Claudio Caniggia,4,,,1990;1994,
ARG,Hernán Crespo,4,,,2002;2006,
ARG,Julián Álvarez,4,,,2022,
ARG,Carlos Peucelle,3,,,1930,
ARG,Oreste Corbatta,3,,,1958,
ARG,Luis Artime,3,,,1966,
ARG,Daniel Passarella,3,,,1978;1982,
ARG,Jorge Burruchaga,3,,,1986;1990,
ARG,Maxi Rodríguez,3,,,2006,
ARG,Carlos Tevez,3,,,2006;2010,
ARG,Ángel Di María,3,,,2014;2018;2022,
ARG,Luis Monti,2,,,1930,
ARG,Adolfo Zumelzú,2,,,1930,
ARG,Héctor Yazalde,2,,,1974,
ARG,Ariel Ortega,2,,,1998,
ARG,Marcos Rojo,2,,,2014;2018,
ARG,Sergio Agüero,2,,,2018,
ARG,Enzo Fernández,2,,,2022,
ARG,Francisco Varallo,1,,,1930,
ARG,Mario Evaristo,1,,,1930,
ARG,Alejandro Scopelli,1,,,1930,
ARG,Ernesto Belis,1,,,1934,
ARG,Alberto Galateo,1,,,1934,
ARG,Norberto Menéndez,1,,,1958,
ARG,Ludovico Avio,1,,,1958,
ARG,Héctor Facundo,1,,,1962,
ARG,José Sanfilippo,1,,,1962,
ARG,Ermindo Onega,1,,,1966,
ARG,Ramón Heredia,1,,,1974,
ARG,Carlos Babington,1,,,1974,
ARG,Roberto Perfumo,1,,,1974,
ARG,Rubén Ayala,1,,,1974,
ARG,Miguel Ángel Brindisi,1,,,1974,
ARG,Alberto Tarantini,1,,,1978,
ARG,Osvaldo Ardiles,1,,,1982,
ARG,Ramón Díaz,1,,,1982,
ARG,Oscar Ruggeri,1,,,1986,
ARG,Pedro Pasculli,1,,,1986,
ARG,José Luis Brown,1,,,1986,
ARG,Pedro Troglio,1,,,1990,
ARG,Pedro Monzón,1,,,1990,
ARG,Abel Balbo,1,,,1994,
ARG,Mauricio Pineda,1,,,1998,
ARG,Javier Zanetti,1,,,1998,
ARG,Claudio López,1,,,1998,
ARG,Javier Saviola,1,,,2006,
ARG,Esteban Cambiasso,1,,,2006,
ARG,Roberto Ayala,1,,,2006,
ARG,Gabriel Heinze,1,,,2010,
ARG,Martín Demichelis,1,,,2010,
ARG,Martín Palermo,1,,,2010,
ARG,Gabriel Mercado,1,,,2018,
ARG,Alexis Mac Allister,1,,,2022,
ARG,Nahuel Molina,1,,,2022,
