code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
AUS,Australia,1974,group,1,East Germany,DDR,0,2,L,,
AUS,Australia,1974,group,2,West Germany,GER,0,3,L,,
AUS,Australia,1974,group,3,Chile,CHL,0,0,D,,
AUS,Australia,2006,group,4,Japan,JPN,3,1,W,,
AUS,Australia,2006,group,5,Brazil,BRA,0,2,L,,
AUS,Australia,2006,group,6,Croatia,CRO,2,2,D,,
AUS,Australia,2006,r16,7,Italy,ITA,0,1,L,,
AUS,Australia,2010,group,8,Germany,GER,0,4,L,,
AUS,Australia,2010,group,9,Ghana,GHA,1,1,D,,
AUS,Australia,2010,group,10,Serbia,SRB,2,1,W,,
AUS,Australia,2014,group,11,Chile,CHL,1,3,L,,
AUS,Australia,2014,group,12,Netherlands,NED,2,3,L,,
AUS,Australia,2014,group,13,Spain,ESP,0,3,L,,
AUS,Australia,2018,group,14,France,FRA,1,2,L,,
AUS,Australia,2018,group,15,Denmark,DEN,1,1,D,,
AUS,Australia,2018,group,16,Peru,PER,0,2,L,,
AUS,Australia,2022,group,17,France,FRA,1,4,L,,
AUS,Australia,2022,group,18,Tunisia,TUN,1,0,W,,
AUS,Australia,2022,group,19,Denmark,DEN,1,0,W,,
AUS,Australia,2022,r16,20,Argentina,ARG,1,2,L,,
