code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
AUT,Austria,1934,r16,1,France,FRA,3,2,W,,
AUT,Austria,1934,qf,2,Hungary,HUN,2,1,W,,
AUT,Austria,1934,sf,3,Italy,ITA,0,1,L,,
AUT,Austria,1934,third,4,Germany,GER,2,3,L,,
AUT,Austria,1954,group,5,Scotland,SCO,1,0,W,,
AUT,Austria,1954,group,6,Czechoslovakia,CSK,5,0,W,,
AUT,Austria,1954,qf,7,Switzerland,SUI,7,5,W,,
AUT,Austria,1954,sf,8,West Germany,GER,1,6,L,,
AUT,Austria,1954,third,9,Uruguay,URU,3,1,W,,
AUT,Austria,1958,group,10,Brazil,BRA,0,3,L,,
AUT,Austria,1958,group,11,Soviet Union,SUN,0,2,L,,
AUT,Austria,1958,group,12,England,ENG,2,2,D,,
AUT,Austria,1978,group,13,Spain,ESP,2,1,W,,
AUT,Austria,1978,group,14,Sweden,SWE,1,0,W,,
AUT,Austria,1978,group,15,Brazil,BRA,0,1,L,,
AUT,Austria,1978,group2,16,Netherlands,NED,1,5,L,,
AUT,Austria,1978,group2,17,Italy,ITA,0,1,L,,
AUT,Austria,1978,group2,18,West Germany,GER,3,2,W,,
AUT,Austria,1982,group,19,Chile,CHL,1,0,W,,
AUT,Austria,1982,group,20,Algeria,DZA,2,0,W,,
AUT,Austria,1982,group,21,West Germany,GER,0,1,L,,
AUT,Austria,1982,group2,22,France,FRA,0,1,L,,
AUT,Austria,1982,group2,23,Northern Ireland,NIR,2,2,D,,
AUT,Austria,1990,group,24,Italy,ITA,0,1,L,,
AUT,Austria,1990,group,25,Czechoslovakia,CSK,0,1,L,,
AUT,Austria,1990,group,26,United States,USA,2,1,W,,
AUT,Austria,1998,group,27,Cameroon,CMR,1,1,D,,
AUT,Austria,1998,group,28,Chile,CHL,1,1,D,,
AUT,Austria,1998,group,29,Italy,ITA,1,2,L,,
