code,player,wc_goals,wc_assists,wc_apps,years,note
AUT,Erich Probst,6,,,1954,
AUT,Hans Krankl,5,,,1978;1982,
AUT,Ernst Stojaspal,3,,,1954,
AUT,Theodor Wagner,3,,,1954,
AUT,Alfred Körner,3,,,1954;1958,
AUT,Walter Schachner,3,,,1978;1982,
AUT,Johann Horvath,2,,,1934,
AUT,Ernst Ocwirk,2,,,1954,
AUT,Matthias Sindelar,1,,,1934,
AUT,Anton Schall,1,,,1934,
AUT,Josef Bican,1,,,1934,
AUT,Karl Zischek,1,,,1934,
AUT,Karl Sesta,1,,,1934,
AUT,Karl Koller,1,,,1958,
AUT,Erich Obermayer,1,,,1978,
AUT,Bruno Pezzey,1,,,1982,
AUT,Reinhold Hintermaier,1,,,1982,
AUT,Andreas Ogris,1,,,1990,
AUT,Gerhard Rodax,1,,,1990,
AUT,Toni Polster,1,,,1998,
AUT,Ivica Vastić,1,,,1998,
AUT,Andi Herzog,1,,,1998,
