code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
BEL,Belgium,1930,group,1,United States,USA,0,3,L,,
BEL,Belgium,1930,group,2,Paraguay,PRY,0,1,L,,
BEL,Belgium,1934,r16,3,Germany,GER,2,5,L,,
BEL,Belgium,1938,r16,4,France,FRA,1,3,L,,
BEL,Belgium,1954,group,5,England,ENG,4,4,D,,
BEL,Belgium,1954,group,6,Italy,ITA,1,4,L,,
BEL,Belgium,1970,group,7,El Salvador,SLV,3,0,W,,
BEL,Belgium,1970,group,8,Soviet Union,SUN,1,4,L,,
BEL,Belgium,1970,group,9,Mexico,MEX,0,1,L,,
BEL,Belgium,1982,group,10,Argentina,ARG,1,0,W,,
BEL,Belgium,1982,group,11,El Salvador,SLV,1,0,W,,
BEL,Belgium,1982,group,12,Hungary,HUN,1,1,D,,
BEL,Belgium,1982,group2,13,Poland,POL,0,3,L,,
BEL,Belgium,1982,group2,14,Soviet Union,SUN,0,1,L,,
BEL,Belgium,1986,group,15,Mexico,MEX,1,2,L,,
BEL,Belgium,1986,group,16,Iraq,IRQ,2,1,W,,
BEL,Belgium,1986,group,17,Paraguay,PRY,2,2,D,,
BEL,Belgium,1986,r16,18,Soviet Union,SUN,4,3,W,,
BEL,Belgium,1986,qf,19,Spain,ESP,1,1,D,,
BEL,Belgium,1986,sf,20,Argentina,ARG,0,2,L,,
BEL,Belgium,1986,third,21,France,FRA,2,4,L,,
BEL,Belgium,1990,group,22,South Korea,KOR,2,0,W,,
BEL,Belgium,1990,group,23,Uruguay,URU,3,1,W,,
BEL,Belgium,1990,group,24,Spain,ESP,1,2,L,,
BEL,Belgium,1990,r16,25,England,ENG,0,1,L,,
BEL,Belgium,1994,group,26,Morocco,MAR,1,0,W,,
BEL,Belgium,1994,group,27,Netherlands,NED,1,0,W,,
BEL,Belgium,1994,group,28,Saudi Arabia,KSA,0,1,L,,
BEL,Belgium,1994,r16,29,Germany,GER,2,3,L,,
BEL,Belgium,1998,group,30,Netherlands,NED,0,0,D,,
BEL,Belgium,1998,group,31,Mexico,MEX,2,2,D,,
BEL,Belgium,1998,group,32,South Korea,KOR,1,1,D,,
BEL,Belgium,2002,group,33,Japan,JPN,2,2,D,,
BEL,Belgium,2002,group,34,Tunisia,TUN,1,1,D,,
BEL,Belgium,2002,group,35,Russia,RUS,3,2,W,,
BEL,Belgium,2002,r16,36,Brazil,BRA,0,2,L,,
BEL,Belgium,2014,group,37,Algeria,DZA,2,1,W,,
BEL,Belgium,2014,group,38,Russia,RUS,1,0,W,,
BEL,Belgium,2014,group,39,South Korea,KOR,1,0,W,,
BEL,Belgium,2014,r16,40,United States,USA,2,1,W,,
BEL,Belgium,2014,qf,41,Argentina,ARG,0,1,L,,
BEL,Belgium,2018,group,42,Panama,PAN,3,0,W,,
BEL,Belgium,2018,group,43,Tunisia,TUN,5,2,W,,
BEL,Belgium,2018,group,44,England,ENG,1,0,W,,
BEL,Belgium,2018,r16,45,Japan,JPN,3,2,W,,
BEL,Belgium,2018,qf,46,Brazil,BRA,2,1,W,,
BEL,Belgium,2018,sf,47,France,FRA,0,1,L,,
BEL,Belgium,2018,third,48,England,ENG,2,0,W,,
BEL,Belgium,2022,group,49,Canada,CAN,1,0,W,,
BEL,Belgium,2022,group,50,Morocco,MAR,0,2,L,,
BEL,Belgium,2022,group,51,Croatia,CRO,0,0,D,,
