code,player,wc_goals,wc_assists,wc_apps,years,note
BEL,Marc Wilmots,5,,,1998;2002,
BEL,Romelu Lukaku,5,,,2014;2018,
BEL,Jan Ceulemans,4,,,1986;1990,
BEL,Léopold Anoul,3,,,1954,
BEL,Enzo Scifo,3,,,1986;1990,
BEL,Nico Claesen,3,,,1986,
BEL,Eden Hazard,3,,,2018,
BEL,Bernard Voorhoof,2,,,1934,
BEL,Wilfried Van Moer,2,,,1970,
BEL,Raoul Lambert,2,,,1970,
BEL,Erwin Vandenbergh,2,,,1982;1986,
BEL,Marc Degryse,2,,,1990;1994,
BEL,Philippe Albert,2,,,1994,
BEL,Marouane Fellaini,2,,,2014;2018,
BEL,Dries Mertens,2,,,2014;2018,
BEL,Jan Vertonghen,2,,,2014;2018,
BEL,Kevin De Bruyne,2,,,2014;2018,
BEL,Michy Batshuayi,2,,,2018;2022,
BEL,Hendrik Isemborghs,1,,,1938,
BEL,Henri Coppens,1,,,1954,
BEL,Ludo Coeck,1,,,1982,
BEL,Alexandre Czerniatynski,1,,,1982,
BEL,Franky Vercauteren,1,,,1986,
BEL,Daniel Veyt,1,,,1986,
BEL,Stéphane Demol,1,,,1986,
BEL,Michel De Wolf,1,,,1990,
BEL,Leo Clijsters,1,,,1990,
BEL,Patrick Vervoort,1,,,1990,
BEL,Georges Grün,1,,,1994,
BEL,Luc Nilis,1,,,1998,
BEL,Peter Van der Heyden,1,,,2002,
BEL,Johan Walem,1,,,2002,
BEL,Wesley Sonck,1,,,2002,
BEL,Divock Origi,1,,,2014,
BEL,Adnan Januzaj,1,,,2018,
BEL,Nacer Chadli,1,,,2018,
BEL,Thomas Meunier,1,,,2018,
