code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
BGR,Bulgaria,1962,group,1,Argentina,ARG,0,1,L,,
BGR,Bulgaria,1962,group,2,Hungary,HUN,1,6,L,,
BGR,Bulgaria,1962,group,3,England,ENG,0,0,D,,
BGR,Bulgaria,1966,group,4,Brazil,BRA,0,2,L,,
BGR,Bulgaria,1966,group,5,Portugal,POR,0,3,L,,
BGR,Bulgaria,1966,group,6,Hungary,HUN,1,3,L,,
BGR,Bulgaria,1970,group,7,Peru,PER,2,3,L,,
BGR,Bulgaria,1970,group,8,West Germany,GER,2,5,L,,
BGR,Bulgaria,1970,group,9,Morocco,MAR,1,1,D,,
BGR,Bulgaria,1974,group,10,Sweden,SWE,0,0,D,,
BGR,Bulgaria,1974,group,11,Uruguay,URU,1,1,D,,
BGR,Bulgaria,1974,group,12,Netherlands,NED,1,4,L,,
BGR,Bulgaria,1986,group,13,Italy,ITA,1,1,D,,
BGR,Bulgaria,1986,group,14,South Korea,KOR,1,1,D,,
BGR,Bulgaria,1986,group,15,Argentina,ARG,0,2,L,,
BGR,Bulgaria,1986,r16,16,Mexico,MEX,0,2,L,,
BGR,Bulgaria,1994,group,17,Nigeria,NGA,0,3,L,,
BGR,Bulgaria,1994,group,18,Greece,GRC,4,0,W,,
BGR,Bulgaria,1994,group,19,Argentina,ARG,2,0,W,,
BGR,Bulgaria,1994,r16,20,Mexico,MEX,1,1,D,,
BGR,Bulgaria,1994,qf,21,Germany,GER,2,1,W,,
BGR,Bulgaria,1994,sf,22,Italy,ITA,1,2,L,,
BGR,Bulgaria,1994,third,23,Sweden,SWE,0,4,L,,
BGR,Bulgaria,1998,group,24,Paraguay,PRY,0,0,D,,
BGR,Bulgaria,1998,group,25,Nigeria,NGA,0,1,L,,
BGR,Bulgaria,1998,group,26,Spain,ESP,1,6,L,,
