code,player,wc_goals,wc_assists,wc_apps,years,note
BGR,Hristo Stoichkov,6,,,1994,
BGR,Hristo Bonev,2,,,1970;1974,
BGR,Nasko Sirakov,2,,,1986;1994,
BGR,Yordan Letchkov,2,,,1994,
BGR,Georgi Sokolov,1,,,1962,
BGR,Ivan Vutsov,1,,,1966,
BGR,Georgi Asparuhov,1,,,1966,
BGR,Ivan Davidov,1,,,1966,
BGR,Dinko Dermendzhiev,1,,,1970,
BGR,Asparuh Nikodimov,1,,,1970,
BGR,Todor Kolev,1,,,1970,
BGR,Dobromir Zhechev,1,,,1970,
BGR,Plamen Getov,1,,,1986,
BGR,Daniel Borimirov,1,,,1994,
BGR,Emil Kostadinov,1,,,1998,
BGR,Georgi Bachev,1,,,1998,
