code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
BRA,Brazil,1930,group,1,Yugoslavia,YUG,1,2,L,,
BRA,Brazil,1930,group,2,Bolivia,BOL,4,0,W,,
BRA,Brazil,1934,r16,3,Spain,ESP,1,3,L,,
BRA,Brazil,1938,r16,4,Poland,POL,6,5,W,,
BRA,Brazil,1938,qf,5,Czechoslovakia,CSK,1,1,D,,
BRA,Brazil,1938,sf,6,Italy,ITA,1,2,L,,
BRA,Brazil,1938,third,7,Sweden,SWE,4,2,W,,
BRA,Brazil,1950,group,8,Mexico,MEX,4,0,W,,
BRA,Brazil,1950,group,9,Switzerland,SUI,2,2,D,,
BRA,Brazil,1950,group,10,Yugoslavia,YUG,2,0,W,,
BRA,Brazil,1950,group,11,Sweden,SWE,7,1,W,,
BRA,Brazil,1950,group,12,Spain,ESP,6,1,W,,
BRA,Brazil,1950,group,13,Uruguay,URU,1,2,L,,
BRA,Brazil,1954,group,14,Mexico,MEX,5,0,W,,
BRA,Brazil,1954,group,15,Yugoslavia,YUG,1,1,D,,
BRA,Brazil,1954,qf,16,Hungary,HUN,2,4,L,,
BRA,Brazil,1958,group,17,Austria,AUT,3,0,W,,
BRA,Brazil,1958,group,18,England,ENG,0,0,D,,
BRA,Brazil,1958,group,19,Soviet Union,SUN,2,0,W,,
BRA,Brazil,1958,qf,20,Wales,WAL,1,0,W,,
BRA,Brazil,1958,sf,21,France,FRA,5,2,W,,
BRA,Brazil,1958,final,22,Sweden,SWE,5,2,W,,
BRA,Brazil,1962,group,23,Mexico,MEX,2,0,W,,
BRA,Brazil,1962,group,24,Czechoslovakia,CSK,0,0,D,,
BRA,Brazil,1962,group,25,Spain,ESP,2,1,W,,
BRA,Brazil,1962,qf,26,England,ENG,3,1,W,,
BRA,Brazil,1962,sf,27,Chile,CHL,4,2,W,,
BRA,Brazil,1962,final,28,Czechoslovakia,CSK,3,1,W,,
BRA,Brazil,1966,group,29,Bulgaria,BGR,2,0,W,,
BRA,Brazil,1966,group,30,Hungary,HUN,1,3,L,,
BRA,Brazil,1966,group,31,Portugal,POR,1,3,L,,
BRA,Brazil,1970,group,32,Czechoslovakia,CSK,4,1,W,,
BRA,Brazil,1970,group,33,England,ENG,1,0,W,,
BRA,Brazil,1970,group,34,Romania,ROU,3,2,W,,
BRA,Brazil,1970,qf,35,Peru,PER,4,2,W,,
BRA,Brazil,1970,sf,36,Uruguay,URU,3,1,W,,
BRA,Brazil,1970,final,37,Italy,ITA,4,1,W,,
BRA,Brazil,1974,group,38,Yugoslavia,YUG,0,0,D,,
BRA,Brazil,1974,group,39,Scotland,SCO,0,0,D,,
BRA,Brazil,1974,group,40,Zaire,COD,3,0,W,,
BRA,Brazil,1974,group2,41,East Germany,DDR,1,0,W,,
BRA,Brazil,1974,group2,42,Argentina,ARG,2,1,W,,
BRA,Brazil,1974,group2,43,Netherlands,NED,0,2,L,,
BRA,Brazil,1974,third,44,Poland,POL,0,1,L,,
BRA,Brazil,1978,group,45,Sweden,SWE,1,1,D,,
BRA,Brazil,1978,group,46,Spain,ESP,0,0,D,,
BRA,Brazil,1978,group,47,Austria,AUT,1,0,W,,
BRA,Brazil,1978,group2,48,Peru,PER,3,0,W,,
BRA,Brazil,1978,group2,49,Argentina,ARG,0,0,D,,
