code,player,wc_goals,wc_assists,wc_apps,years,note
BRA,Ronaldo,15,,,1998;2002;2006,
BRA,Pelé,12,,,1958;1962;1966;1970,
BRA,Ademir,9,,,1950,
BRA,Vavá,9,,,1958;1962,
BRA,Jairzinho,9,,,1970;1974,
BRA,Leônidas,8,,,1934;1938,
BRA,Rivaldo,8,,,1998;2002,
BRA,Neymar,8,,,2014;2018;2022,
BRA,Careca,7,,,1986;1990,
BRA,Rivellino,6,,,1970;1974,
BRA,Bebeto,6,,,1994;1998,
BRA,Garrincha,5,,,1962;1966,
BRA,Zico,5,,,1978;1982,
BRA,Romário,5,,,1994,
BRA,Chico,4,,,1950,
BRA,Sócrates,4,,,1982;1986,
BRA,Preguinho,3,,,1930,
BRA,Romeu,3,,,1938,
BRA,Perácio,3,,,1938,
BRA,Baltazar,3,,,1950;1954,
BRA,Didi,3,,,1954;1958,
BRA,Amarildo,3,,,1962,
BRA,Tostão,3,,,1966;1970,
BRA,Roberto Dinamite,3,,,1978,
BRA,Dirceu,3,,,1978,
BRA,Falcão,3,,,1982,
BRA,César Sampaio,3,,,1998,
BRA,Luís Fabiano,3,,,2010,
BRA,Richarlison,3,,,2022,
BRA,Moderato,2,,,1930,
BRA,Jair,2,,,1950,
BRA,Zizinho,2,,,1950,
BRA,Pinga,2,,,1954,
BRA,Julinho,2,,,1954,
BRA,José Altafini,2,,,1958,
BRA,Mário Zagallo,2,,,1958;1962,
BRA,Nelinho,2,,,1978,
BRA,Éder,2,,,1982,
BRA,Serginho,2,,,1982,
BRA,Josimar,2,,,1986,
BRA,Müller,2,,,1990,
BRA,Ronaldinho,2,,,2002,
BRA,Adriano,2,,,2006,
BRA,Fred,2,,,2006;2014,
BRA,Elano,2,,,2010,
BRA,Robinho,2,,,2010,
BRA,Oscar,2,,,2014,
BRA,Fernandinho,2,,,2014;2018,
BRA,David Luiz,2,,,2014,
BRA,Thiago Silva,2,,,2014;2018,
BRA,Philippe Coutinho,2,,,2018,
BRA,Roberto,1,,,1938,
BRA,Alfredo,1,,,1950,
BRA,Maneca,1,,,1950,
BRA,Friaça,1,,,1950,
BRA,Djalma Santos,1,,,1954,
BRA,Nílton Santos,1,,,1958,
BRA,Zito,1,,,1962,
BRA,Rildo,1,,,1966,
BRA,Clodoaldo,1,,,1970,
BRA,Gérson,1,,,1970,
BRA,Carlos Alberto,1,,,1970,
BRA,Valdomiro,1,,,1974,
BRA,Reinaldo,1,,,1978,
BRA,Oscar,1,,,1982,
BRA,Júnior,1,,,1982,
BRA,Edinho,1,,,1986,
BRA,Raí,1,,,1994,
BRA,Márcio Santos,1,,,1994,
BRA,Branco,1,,,1994,
BRA,Roberto Carlos,1,,,2002,
BRA,Edmílson,1,,,2002,
BRA,Júnior,1,,,2002,
BRA,Kaká,1,,,2006,
BRA,Juninho Pernambucano,1,,,2006,
BRA,Gilberto,1,,,2006,
BRA,Zé Roberto,1,,,2006,
BRA,Maicon,1,,,2010,
BRA,Juan,1,,,2010,
BRA,Marcelo,1,,,2014,
BRA,Paulinho,1,,,2018,
BRA,Roberto Firmino,1,,,2018,
BRA,Renato Augusto,1,,,2018,
BRA,Casemiro,1,,,2022,
BRA,Vinícius Júnior,1,,,2022,
BRA,Lucas Paquetá,1,,,2022,
