code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
CHL,Chile,1930,group,1,Mexico,MEX,3,0,W,,
CHL,Chile,1930,group,2,France,FRA,1,0,W,,
CHL,Chile,1930,group,3,Argentina,ARG,1,3,L,,
CHL,Chile,1950,group,4,England,ENG,0,2,L,,
CHL,Chile,1950,group,5,Spain,ESP,0,2,L,,
CHL,Chile,1950,group,6,United States,USA,5,2,W,,
CHL,Chile,1962,group,7,Switzerland,SUI,3,1,W,,
CHL,Chile,1962,group,8,Italy,ITA,2,0,W,,
CHL,Chile,1962,group,9,West Germany,GER,0,2,L,,
CHL,Chile,1962,qf,10,Soviet Union,SUN,2,1,W,,
CHL,Chile,1962,sf,11,Brazil,BRA,2,4,L,,
CHL,Chile,1962,third,12,Yugoslavia,YUG,1,0,W,,
CHL,Chile,1966,group,13,Italy,ITA,0,2,L,,
CHL,Chile,1966,group,14,North Korea,PRK,1,1,D,,
CHL,Chile,1966,group,15,Soviet Union,SUN,1,2,L,,
CHL,Chile,1974,group,16,West Germany,GER,0,1,L,,
CHL,Chile,1974,group,17,East Germany,DDR,1,1,D,,
CHL,Chile,1974,group,18,Australia,AUS,0,0,D,,
CHL,Chile,1982,group,19,Austria,AUT,0,1,L,,
CHL,Chile,1982,group,20,West Germany,GER,1,4,L,,
CHL,Chile,1982,group,21,Algeria,DZA,2,3,L,,
CHL,Chile,1998,group,22,Italy,ITA,2,2,D,,
CHL,Chile,1998,group,23,Austria,AUT,1,1,D,,
CHL,Chile,1998,group,24,Cameroon,CMR,1,1,D,,
CHL,Chile,1998,r16,25,Brazil,BRA,1,4,L,,
CHL,Chile,2010,group,26,Honduras,HND,1,0,W,,
CHL,Chile,2010,group,27,Switzerland,SUI,1,0,W,,
CHL,Chile,2010,group,28,Spain,ESP,1,2,L,,
CHL,Chile,2010,r16,29,Brazil,BRA,0,3,L,,
CHL,Chile,2014,group,30,Australia,AUS,3,1,W,,
CHL,Chile,2014,group,31,Spain,ESP,2,0,W,,
CHL,Chile,2014,group,32,Netherlands,NED,0,2,L,,
CHL,Chile,2014,r16,33,Brazil,BRA,1,1,D,,
