code,player,wc_goals,wc_assists,wc_apps,years,note
CHL,Leonel Sánchez,4,,,1962,
CHL,Marcelo Salas,4,,,1998,
CHL,Carlos Vidal,2,,,1930,
CHL,Guillermo Subiabre,2,,,1930,
CHL,Atilio Cremaschi,2,,,1950,
CHL,Jaime Ramírez,2,,,1962,
CHL,Jorge Toro,2,,,1962,
CHL,Eladio Rojas,2,,,1962,
CHL,Rubén Marcos,2,,,1966,
CHL,Jean Beausejour,2,,,2010;2014,
CHL,Alexis Sánchez,2,,,2014,
CHL,George Robledo,1,,,1950,
CHL,Andrés Prieto,1,,,1950,
CHL,Fernando Riera,1,,,1950,
CHL,Sergio Ahumada,1,,,1974,
CHL,Gustavo Moscoso,1,,,1982,
CHL,Miguel Ángel Neira,1,,,1982,
CHL,Juan Carlos Letelier,1,,,1982,
CHL,José Luis Sierra,1,,,1998,
CHL,Mark González,1,,,2010,
CHL,Rodrigo Millar,1,,,2010,
CHL,Jorge Valdivia,1,,,2014,
CHL,Eduardo Vargas,1,,,2014,
CHL,Charles Aránguiz,1,,,2014,
