code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
CMR,Cameroon,1982,group,1,Peru,PER,0,0,D,,
CMR,Cameroon,1982,group,2,Poland,POL,0,0,D,,
CMR,Cameroon,1982,group,3,Italy,ITA,1,1,D,,
CMR,Cameroon,1990,group,4,Argentina,ARG,1,0,W,,
CMR,Cameroon,1990,group,5,Romania,ROU,2,1,W,,
CMR,Cameroon,1990,group,6,Soviet Union,SUN,0,4,L,,
CMR,Cameroon,1990,r16,7,Colombia,COL,2,1,W,,
CMR,Cameroon,1990,qf,8,England,ENG,2,3,L,,
CMR,Cameroon,1994,group,9,Sweden,SWE,2,2,D,,
CMR,Cameroon,1994,group,10,Brazil,BRA,0,3,L,,
CMR,Cameroon,1994,group,11,Russia,RUS,1,6,L,,
CMR,Cameroon,1998,group,12,Austria,AUT,1,1,D,,
CMR,Cameroon,1998,group,13,Italy,ITA,0,3,L,,
CMR,Cameroon,1998,group,14,Chile,CHL,1,1,D,,
CMR,Cameroon,2002,group,15,Republic of Ireland,IRL,1,1,D,,
CMR,Cameroon,2002,group,16,Saudi Arabia,KSA,1,0,W,,
CMR,Cameroon,2002,group,17,Germany,GER,0,2,L,,
CMR,Cameroon,2010,group,18,Japan,JPN,0,1,L,,
CMR,Cameroon,2010,group,19,Denmark,DEN,1,2,L,,
CMR,Cameroon,2010,group,20,Netherlands,NED,1,2,L,,
CMR,Cameroon,2014,group,21,Mexico,MEX,0,1,L,,
CMR,Cameroon,2014,group,22,Croatia,CRO,0,4,L,,
CMR,Cameroon,2014,group,23,Brazil,BRA,1,4,L,,
CMR,Cameroon,2022,group,24,Switzerland,SUI,0,1,L,,
CMR,Cameroon,2022,group,25,Serbia,SRB,3,3,D,,
CMR,Cameroon,2022,group,26,Brazil,BRA,1,0,W,,
