code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
COL,Colombia,1962,group,1,Uruguay,URU,1,2,L,,
COL,Colombia,1962,group,2,Soviet Union,SUN,4,4,D,,
COL,Colombia,1962,group,3,Yugoslavia,YUG,0,5,L,,
COL,Colombia,1990,group,4,United Arab Emirates,ARE,2,0,W,,
COL,Colombia,1990,group,5,Yugoslavia,YUG,0,1,L,,
COL,Colombia,1990,group,6,West Germany,GER,1,1,D,,
COL,Colombia,1990,r16,7,Cameroon,CMR,1,2,L,,
COL,Colombia,1994,group,8,Romania,ROU,1,3,L,,
COL,Colombia,1994,group,9,United States,USA,1,2,L,,
COL,Colombia,1994,group,10,Switzerland,SUI,2,0,W,,
COL,Colombia,1998,group,11,Romania,ROU,0,1,L,,
COL,Colombia,1998,group,12,Tunisia,TUN,1,0,W,,
COL,Colombia,1998,group,13,England,ENG,0,2,L,,
COL,Colombia,2014,group,14,Greece,GRC,3,0,W,,
COL,Colombia,2014,group,15,Ivory Coast,CIV,2,1,W,,
COL,Colombia,2014,group,16,Japan,JPN,4,1,W,,
COL,Colombia,2014,r16,17,Uruguay,URU,2,0,W,,
COL,Colombia,2014,qf,18,Brazil,BRA,1,2,L,,
COL,Colombia,2018,group,19,Japan,JPN,1,2,L,,
COL,Colombia,2018,group,20,Poland,POL,3,0,W,,
COL,Colombia,2018,group,21,Senegal,SEN,1,0,W,,
COL,Colombia,2018,r16,22,England,ENG,1,1,D,,
