code,player,wc_goals,wc_assists,wc_apps,years,note
COL,James Rodríguez,6,,,2014,
COL,Yerry Mina,3,,,2018,
COL,Bernardo Redín,2,,,1990,
COL,Adolfo Valencia,2,,,1994,
COL,Juan Fernando Quintero,2,,,2014;2018,
COL,Juan Cuadrado,2,,,2014;2018,
COL,Jackson Martínez,2,,,2014,
COL,Francisco Zuluaga,1,,,1962,
COL,Germán Aceros,1,,,1962,
COL,Marcos Coll,1,,,1962,
COL,Antonio Rada,1,,,1962,
COL,Marino Klinger,1,,,1962,
COL,Carlos Valderrama,1,,,1990,
COL,Freddy Rincón,1,,,1990,
COL,Andrés Escobar,1,,,1994,
COL,Hermán Gaviria,1,,,1994,
COL,John Harold Lozano,1,,,1994,
COL,Léider Preciado,1,,,1998,
COL,Pablo Armero,1,,,2014,
COL,Teófilo Gutiérrez,1,,,2014,
COL,Radamel Falcao,1,,,2018,
