code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
CRI,Costa Rica,1990,group,1,Scotland,SCO,1,0,W,,
CRI,Costa Rica,1990,group,2,Brazil,BRA,0,1,L,,
CRI,Costa Rica,1990,group,3,Sweden,SWE,2,1,W,,
CRI,Costa Rica,1990,r16,4,Czechoslovakia,CSK,1,4,L,,
CRI,Costa Rica,2002,group,5,China,CHN,2,0,W,,
CRI,Costa Rica,2002,group,6,Turkey,TUR,1,1,D,,
CRI,Costa Rica,2002,group,7,Brazil,BRA,2,5,L,,
CRI,Costa Rica,2006,group,8,Germany,GER,2,4,L,,
CRI,Costa Rica,2006,group,9,Ecuador,ECU,0,3,L,,
CRI,Costa Rica,2006,group,10,Poland,POL,1,2,L,,
CRI,Costa Rica,2014,group,11,Uruguay,URU,3,1,W,,
CRI,Costa Rica,2014,group,12,Italy,ITA,1,0,W,,
CRI,Costa Rica,2014,group,13,England,ENG,0,0,D,,
CRI,Costa Rica,2014,r16,14,Greece,GRC,1,1,D,,
CRI,Costa Rica,2014,qf,15,Netherlands,NED,0,0,D,,
CRI,Costa Rica,2018,group,16,Serbia,SRB,0,1,L,,
CRI,Costa Rica,2018,group,17,Brazil,BRA,0,2,L,,
CRI,Costa Rica,2018,group,18,Switzerland,SUI,2,2,D,,
CRI,Costa Rica,2022,group,19,Spain,ESP,0,7,L,,
CRI,Costa Rica,2022,group,20,Japan,JPN,1,0,W,,
CRI,Costa Rica,2022,group,21,Germany,GER,2,4,L,,
