code,player,wc_goals,wc_assists,wc_apps,years,note
CRI,Rónald Gómez,3,,,2002;2006,
CRI,Paulo Wanchope,3,,,2002;2006,
CRI,Bryan Ruiz,2,,,2014,
CRI,Juan Cayasso,1,,,1990,
CRI,Róger Flores,1,,,1990,
CRI,Hernán Medford,1,,,1990,
CRI,Rónald González Brenes,1,,,1990,
CRI,Mauricio Wright,1,,,2002,
CRI,Winston Parks,1,,,2002,
CRI,Joel Campbell,1,,,2014,
CRI,Óscar Duarte,1,,,2014,
CRI,Marco Ureña,1,,,2014,
CRI,Kendall Waston,1,,,2018,
CRI,Keysher Fuller,1,,,2022,
CRI,Yeltsin Tejeda,1,,,2022,
CRI,Juan Pablo Vargas,1,,,2022,
