code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
CRO,Croatia,1998,group,1,Jamaica,JAM,3,1,W,,
CRO,Croatia,1998,group,2,Japan,JPN,1,0,W,,
CRO,Croatia,1998,group,3,Argentina,ARG,0,1,L,,
CRO,Croatia,1998,r16,4,Romania,ROU,1,0,W,,
CRO,Croatia,1998,qf,5,Germany,GER,3,0,W,,
CRO,Croatia,1998,sf,6,France,FRA,1,2,L,,
CRO,Croatia,1998,third,7,Netherlands,NED,2,1,W,,
CRO,Croatia,2002,group,8,Mexico,MEX,0,1,L,,
CRO,Croatia,2002,group,9,Italy,ITA,2,1,W,,
CRO,Croatia,2002,group,10,Ecuador,ECU,0,1,L,,
CRO,Croatia,2006,group,11,Brazil,BRA,0,1,L,,
CRO,Croatia,2006,group,12,Japan,JPN,0,0,D,,
CRO,Croatia,2006,group,13,Australia,AUS,2,2,D,,
CRO,Croatia,2014,group,14,Brazil,BRA,1,3,L,,
CRO,Croatia,2014,group,15,Cameroon,CMR,4,0,W,,
CRO,Croatia,2014,group,16,Mexico,MEX,1,3,L,,
CRO,Croatia,2018,group,17,Nigeria,NGA,2,0,W,,
CRO,Croatia,2018,group,18,Argentina,ARG,3,0,W,,
CRO,Croatia,2018,group,19,Iceland,ISL,2,1,W,,
CRO,Croatia,2018,r16,20,Denmark,DEN,1,1,D,,
CRO,Croatia,2018,qf,21,Russia,RUS,2,2,D,,
CRO,Croatia,2018,sf,22,England,ENG,2,1,W,,
CRO,Croatia,2018,final,23,France,FRA,2,4,L,,
CRO,Croatia,2022,group,24,Morocco,MAR,0,0,D,,
CRO,Croatia,2022,group,25,Canada,CAN,4,1,W,,
CRO,Croatia,2022,group,26,Belgium,BEL,0,0,D,,
CRO,Croatia,2022,r16,27,Japan,JPN,1,1,D,,
CRO,Croatia,2022,qf,28,Brazil,BRA,1,1,D,,
CRO,Croatia,2022,sf,29,Argentina,ARG,0,3,L,,
CRO,Croatia,2022,third,30,Morocco,MAR,2,1,W,,
