code,player,wc_goals,wc_assists,wc_apps,years,note
CRO,Davor Šuker,6,,,1998,
CRO,Ivan Perišić,6,,,2014;2018;2022,
CRO,Mario Mandžukić,6,,,2014;2018,
CRO,Andrej Kramarić,3,,,2018;2022,
CRO,Robert Prosinečki,2,,,1998,
CRO,Ivica Olić,2,,,2002;2014,
CRO,Luka Modrić,2,,,2018,
CRO,Mario Stanić,1,,,1998,
CRO,Robert Jarni,1,,,1998,
CRO,Goran Vlaović,1,,,1998,
CRO,Milan Rapaić,1,,,2002,
CRO,Darijo Srna,1,,,2006,
CRO,Niko Kovač,1,,,2006,
CRO,Ante Rebić,1,,,2018,
CRO,Ivan Rakitić,1,,,2018,
CRO,Milan Badelj,1,,,2018,
CRO,Domagoj Vida,1,,,2018,
CRO,Marko Livaja,1,,,2022,
CRO,Lovro Majer,1,,,2022,
CRO,Bruno Petković,1,,,2022,
CRO,Joško Gvardiol,1,,,2022,
CRO,Mislav Oršić,1,,,2022,
