code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
CSK,Czechoslovakia,1934,r16,1,Romania,ROU,2,1,W,,
CSK,Czechoslovakia,1934,qf,2,Switzerland,SUI,3,2,W,,
CSK,Czechoslovakia,1934,sf,3,Germany,GER,3,1,W,,
CSK,Czechoslovakia,1934,final,4,Italy,ITA,1,2,L,,
CSK,Czechoslovakia,1938,r16,5,Netherlands,NED,3,0,W,,
CSK,Czechoslovakia,1938,qf,6,Brazil,BRA,1,1,D,,
CSK,Czechoslovakia,1954,group,7,Uruguay,URU,0,2,L,,
CSK,Czechoslovakia,1954,group,8,Austria,AUT,0,5,L,,
CSK,Czechoslovakia,1958,group,9,Northern Ireland,NIR,0,1,L,,
CSK,Czechoslovakia,1958,group,10,West Germany,GER,2,2,D,,
CSK,Czechoslovakia,1958,group,11,Argentina,ARG,6,1,W,,
CSK,Czechoslovakia,1958,group,12,Northern Ireland,NIR,1,2,L,,
CSK,Czechoslovakia,1962,group,13,Spain,ESP,1,0,W,,
CSK,Czechoslovakia,1962,group,14,Brazil,BRA,0,0,D,,
CSK,Czechoslovakia,1962,group,15,Mexico,MEX,1,3,L,,
CSK,Czechoslovakia,1962,qf,16,Hungary,HUN,1,0,W,,
CSK,Czechoslovakia,1962,sf,17,Yugoslavia,YUG,3,1,W,,
CSK,Czechoslovakia,1962,final,18,Brazil,BRA,1,3,L,,
CSK,Czechoslovakia,1970,group,19,Brazil,BRA,1,4,L,,
CSK,Czechoslovakia,1970,group,20,Romania,ROU,1,2,L,,
CSK,Czechoslovakia,1970,group,21,England,ENG,0,1,L,,
CSK,Czechoslovakia,1982,group,22,Kuwait,KWT,1,1,D,,
CSK,Czechoslovakia,1982,group,23,England,ENG,0,2,L,,
CSK,Czechoslovakia,1982,group,24,France,FRA,1,1,D,,
CSK,Czechoslovakia,1990,group,25,United States,USA,5,1,W,,
CSK,Czechoslovakia,1990,group,26,Austria,AUT,1,0,W,,
CSK,Czechoslovakia,1990,group,27,Italy,ITA,0,2,L,,
CSK,Czechoslovakia,1990,r16,28,Costa Rica,CRI,4,1,W,,
CSK,Czechoslovakia,1990,qf,29,West Germany,GER,0,1,L,,
