code,player,wc_goals,wc_assists,wc_apps,years,note
CSK,Oldřich Nejedlý,7,,,1934;1938,
CSK,Tomáš Skuhravý,5,,,1990,
CSK,Zdeněk Zikán,4,,,1958,
CSK,Adolf Scherer,3,,,1962,
CSK,Antonín Puč,2,,,1934,
CSK,Milan Dvořák,2,,,1958,
CSK,Václav Hovorka,2,,,1958,
CSK,Ladislav Petráš,2,,,1970,
CSK,Antonín Panenka,2,,,1982,
CSK,Michal Bílek,2,,,1990,
CSK,František Svoboda,1,,,1934,
CSK,Jiří Sobotka,1,,,1934,
CSK,Josef Košťálek,1,,,1938,
CSK,Josef Zeman,1,,,1938,
CSK,Vlastimil Kopecký,1,,,1938,
CSK,Jiří Feureisl,1,,,1958,
CSK,Jozef Štibrányi,1,,,1962,
CSK,Václav Mašek,1,,,1962,
CSK,Josef Kadraba,1,,,1962,
CSK,Josef Masopust,1,,,1962,
CSK,Jozef Barmoš,1,,,1982,
CSK,Ivan Hašek,1,,,1990,
CSK,Milan Luhový,1,,,1990,
CSK,Luboš Kubík,1,,,1990,
