code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
DEN,Denmark,1986,group,1,Scotland,SCO,1,0,W,,
DEN,Denmark,1986,group,2,Uruguay,URU,6,1,W,,
DEN,Denmark,1986,group,3,West Germany,GER,2,0,W,,
DEN,Denmark,1986,r16,4,Spain,ESP,1,5,L,,
DEN,Denmark,1998,group,5,Saudi Arabia,KSA,1,0,W,,
DEN,Denmark,1998,group,6,South Africa,RSA,1,1,D,,
DEN,Denmark,1998,group,7,France,FRA,1,2,L,,
DEN,Denmark,1998,r16,8,Nigeria,NGA,4,1,W,,
DEN,Denmark,1998,qf,9,Brazil,BRA,2,3,L,,
DEN,Denmark,2002,group,10,Uruguay,URU,2,1,W,,
DEN,Denmark,2002,group,11,Senegal,SEN,1,1,D,,
DEN,Denmark,2002,group,12,France,FRA,2,0,W,,
DEN,Denmark,2002,r16,13,England,ENG,0,3,L,,
DEN,Denmark,2010,group,14,Netherlands,NED,0,2,L,,
DEN,Denmark,2010,group,15,Cameroon,CMR,2,1,W,,
DEN,Denmark,2010,group,16,Japan,JPN,1,3,L,,
DEN,Denmark,2018,group,17,Peru,PER,1,0,W,,
DEN,Denmark,2018,group,18,Australia,AUS,1,1,D,,
DEN,Denmark,2018,group,19,France,FRA,0,0,D,,
DEN,Denmark,2018,r16,20,Croatia,CRO,1,1,D,,
DEN,Denmark,2022,group,21,Tunisia,TUN,0,0,D,,
DEN,Denmark,2022,group,22,France,FRA,1,2,L,,
DEN,Denmark,2022,group,23,Australia,AUS,0,1,L,,
