code,player,wc_goals,wc_assists,wc_apps,years,note
DEN,Jon Dahl Tomasson,5,,,2002;2010,
DEN,Preben Elkjær,4,,,1986,
DEN,Jesper Olsen,3,,,1986,
DEN,Michael Laudrup,2,,,1986;1998,
DEN,Brian Laudrup,2,,,1998,
DEN,Dennis Rommedahl,2,,,2002;2010,
DEN,Søren Lerby,1,,,1986,
DEN,John Eriksen,1,,,1986,
DEN,Marc Rieper,1,,,1998,
DEN,Allan Nielsen,1,,,1998,
DEN,Peter Møller,1,,,1998,
DEN,Ebbe Sand,1,,,1998,
DEN,Thomas Helveg,1,,,1998,
DEN,Martin Jørgensen,1,,,1998,
DEN,Daniel Agger,1,,,2010,
DEN,Nicklas Bendtner,1,,,2010,
DEN,Yussuf Poulsen,1,,,2018,
DEN,Christian Eriksen,1,,,2018,
DEN,Mathias Jørgensen,1,,,2018,
DEN,Andreas Christensen,1,,,2022,
