code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
DZA,Algeria,1982,group,1,West Germany,GER,2,1,W,,
DZA,Algeria,1982,group,2,Austria,AUT,0,2,L,,
DZA,Algeria,1982,group,3,Chile,CHL,3,2,W,,
DZA,Algeria,1986,group,4,Northern Ireland,NIR,1,1,D,,
DZA,Algeria,1986,group,5,Brazil,BRA,0,1,L,,
DZA,Algeria,1986,group,6,Spain,ESP,0,3,L,,
DZA,Algeria,2010,group,7,Slovenia,SVN,0,1,L,,
DZA,Algeria,2010,group,8,England,ENG,0,0,D,,
DZA,Algeria,2010,group,9,United States,USA,0,1,L,,
DZA,Algeria,2014,group,10,Belgium,BEL,1,2,L,,
DZA,Algeria,2014,group,11,South Korea,KOR,4,2,W,,
DZA,Algeria,2014,group,12,Russia,RUS,1,1,D,,
DZA,Algeria,2014,r16,13,Germany,GER,1,2,L,,
