code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
ECU,Ecuador,2002,group,1,Italy,ITA,0,2,L,,
ECU,Ecuador,2002,group,2,Mexico,MEX,1,2,L,,
ECU,Ecuador,2002,group,3,Croatia,CRO,1,0,W,,
ECU,Ecuador,2006,group,4,Poland,POL,2,0,W,,
ECU,Ecuador,2006,group,5,Costa Rica,CRI,3,0,W,,
ECU,Ecuador,2006,group,6,Germany,GER,0,3,L,,
ECU,Ecuador,2006,r16,7,England,ENG,0,1,L,,
ECU,Ecuador,2014,group,8,Switzerland,SUI,1,2,L,,
ECU,Ecuador,2014,group,9,Honduras,HND,2,1,W,,
ECU,Ecuador,2014,group,10,France,FRA,0,0,D,,
ECU,Ecuador,2022,group,11,Qatar,QAT,2,0,W,,
ECU,Ecuador,2022,group,12,Netherlands,NED,1,1,D,,
ECU,Ecuador,2022,group,13,Senegal,SEN,1,2,L,,
