code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
ENG,England,1950,group,1,Chile,CHL,2,0,W,,
ENG,England,1950,group,2,United States,USA,0,1,L,,
ENG,England,1950,group,3,Spain,ESP,0,1,L,,
ENG,England,1954,group,4,Belgium,BEL,4,4,D,,
ENG,England,1954,group,5,Switzerland,SUI,2,0,W,,
ENG,England,1954,qf,6,Uruguay,URU,2,4,L,,
ENG,England,1958,group,7,Soviet Union,SUN,2,2,D,,
ENG,England,1958,group,8,Brazil,BRA,0,0,D,,
ENG,England,1958,group,9,Austria,AUT,2,2,D,,
ENG,England,1958,group,10,Soviet Union,SUN,0,1,L,,
ENG,England,1962,group,11,Hungary,HUN,1,2,L,,
ENG,England,1962,group,12,Argentina,ARG,3,1,W,,
ENG,England,1962,group,13,Bulgaria,BGR,0,0,D,,
ENG,England,1962,qf,14,Brazil,BRA,1,3,L,,
ENG,England,1966,group,15,Uruguay,URU,0,0,D,,
ENG,England,1966,group,16,Mexico,MEX,2,0,W,,
ENG,England,1966,group,17,France,FRA,2,0,W,,
ENG,England,1966,qf,18,Argentina,ARG,1,0,W,,
ENG,England,1966,sf,19,Portugal,POR,2,1,W,,
ENG,England,1966,final,20,West Germany,GER,4,2,W,,
ENG,England,1970,group,21,Romania,ROU,1,0,W,,
ENG,England,1970,group,22,Brazil,BRA,0,1,L,,
ENG,England,1970,group,23,Czechoslovakia,CSK,1,0,W,,
ENG,England,1970,qf,24,West Germany,GER,2,3,L,,
ENG,England,1982,group,25,France,FRA,3,1,W,,
ENG,England,1982,group,26,Czechoslovakia,CSK,2,0,W,,
ENG,England,1982,group,27,Kuwait,KWT,1,0,W,,
ENG,England,1982,group2,28,West Germany,GER,0,0,D,,
ENG,England,1982,group2,29,Spain,ESP,0,0,D,,
ENG,England,1986,group,30,Portugal,POR,0,1,L,,
ENG,England,1986,group,31,Morocco,MAR,0,0,D,,
ENG,England,1986,group,32,Poland,POL,3,0,W,,
ENG,England,1986,r16,33,Paraguay,PRY,3,0,W,,
ENG,England,1986,qf,34,Argentina,ARG,1,2,L,,
ENG,England,1990,group,35,Republic of Ireland,IRL,1,1,D,,
ENG,England,1990,group,36,Netherlands,NED,0,0,D,,
ENG,England,1990,group,37,Egypt,EGY,1,0,W,,
ENG,England,1990,r16,38,Belgium,BEL,1,0,W,,
ENG,England,1990,qf,39,Cameroon,CMR,3,2,W,,
ENG,England,1990,sf,40,West Germany,GER,1,1,D,,
ENG,England,1990,third,41,Italy,ITA,1,2,L,,
ENG,England,1998,group,42,Tunisia,TUN,2,0,W,,
ENG,England,1998,group,43,Romania,ROU,1,2,L,,
ENG,England,1998,group,44,Colombia,COL,2,0,W,,
ENG,England,1998,r16,45,Argentina,ARG,2,2,D,,
ENG,England,2002,group,46,Sweden,SWE,1,1,D,,
ENG,England,2002,group,47,Argentina,ARG,1,0,W,,
ENG,England,2002,group,48,Nigeria,NGA,0,0,D,,
ENG,England,2002,r16,49,Denmark,DEN,3,0,W,,
ENG,England,2002,qf,50,Brazil,BRA,1,2,L,,
ENG,England,2006,group,51,Paraguay,PRY,1,0,W,,
ENG,England,2006,group,52,Trinidad and Tobago,TTO,2,0,W,,
ENG,England,2006,group,53,Sweden,SWE,2,2,D,,
ENG,England,2006,r16,54,Ecuador,ECU,1,0,W,,
ENG,England,2006,qf,55,Portugal,POR,0,0,D,,
ENG,England,2010,group,56,United States,USA,1,1,D,,
ENG,England,2010,group,57,Algeria,DZA,0,0,D,,
ENG,England,2010,group,58,Slovenia,SVN,1,0,W,,
ENG,England,2010,r16,59,Germany,GER,1,4,L,,
ENG,England,2014,group,60,Italy,ITA,1,2,L,,
ENG,England,2014,group,61,Uruguay,URU,1,2,L,,
ENG,England,2014,group,62,Costa Rica,CRI,0,0,D,,
ENG,England,2018,group,63,Tunisia,TUN,2,1,W,,
ENG,England,2018,group,64,Panama,PAN,6,1,W,,
ENG,England,2018,group,65,Belgium,BEL,0,1,L,,
ENG,England,2018,r16,66,Colombia,COL,1,1,D,,
ENG,England,2018,qf,67,Sweden,SWE,2,0,W,,
ENG,England,2018,sf,68,Croatia,CRO,1,2,L,,
ENG,England,2018,third,69,Belgium,BEL,0,2,L,,
ENG,England,2022,group,70,Iran,IRN,6,2,W,,
ENG,England,2022,group,71,United States,USA,0,0,D,,
ENG,England,2022,group,72,Wales,WAL,3,0,W,,
ENG,England,2022,r16,73,Senegal,SEN,3,0,W,,
ENG,England,2022,qf,74,France,FRA,1,2,L,,
