code,player,wc_goals,wc_assists,wc_apps,years,note
ENG,Gary Lineker,10,,,1986;1990,
ENG,Harry Kane,8,,,2018;2022,
ENG,Geoff Hurst,5,,,1966;1970,
ENG,Bobby Charlton,4,,,1962;1966,
ENG,Michael Owen,4,,,1998;2002,
ENG,Nat Lofthouse,3,,,1954,
ENG,Roger Hunt,3,,,1966,
ENG,David Platt,3,,,1990,
ENG,David Beckham,3,,,1998;2002;2006,
ENG,Steven Gerrard,3,,,2006;2010,
ENG,Bukayo Saka,3,,,2022,
ENG,Marcus Rashford,3,,,2022,
ENG,Ivor Broadis,2,,,1954,
ENG,Tom Finney,2,,,1954;1958,
ENG,Derek Kevan,2,,,1958,
ENG,Ron Flowers,2,,,1962,
ENG,Martin Peters,2,,,1966;1970,
ENG,Bryan Robson,2,,,1982,
ENG,Trevor Francis,2,,,1982,
ENG,Alan Shearer,2,,,1998,
ENG,John Stones,2,,,2018,
ENG,Stan Mortensen,1,,,1950,
ENG,Wilf Mannion,1,,,1950,
ENG,Jimmy Dickinson,1,,,1954,
ENG,Jimmy Mullen,1,,,1954,
ENG,Dennis Wilshaw,1,,,1954,
ENG,Johnny Haynes,1,,,1958,
ENG,Jimmy Greaves,1,,,1962,
ENG,Gerry Hitchens,1,,,1962,
ENG,Allan Clarke,1,,,1970,
ENG,Alan Mullery,1,,,1970,
ENG,Paul Mariner,1,,,1982,
ENG,Peter Beardsley,1,,,1986,
ENG,Mark Wright,1,,,1990,
ENG,Paul Scholes,1,,,1998,
ENG,Darren Anderton,1,,,1998,
ENG,Sol Campbell,1,,,2002,
ENG,Rio Ferdinand,1,,,2002,
ENG,Emile Heskey,1,,,2002,
ENG,Peter Crouch,1,,,2006,
ENG,Joe Cole,1,,,2006,
ENG,Jermain Defoe,1,,,2010,
ENG,Matthew Upson,1,,,2010,
ENG,Daniel Sturridge,1,,,2014,
ENG,Wayne Rooney,1,,,2014,
ENG,Jesse Lingard,1,,,2018,
ENG,Harry Maguire,1,,,2018,
ENG,Dele Alli,1,,,2018,
ENG,Kieran Trippier,1,,,2018,
ENG,Jude Bellingham,1,,,2022,
ENG,Raheem Sterling,1,,,2022,
ENG,Jack Grealish,1,,,2022,
ENG,Phil Foden,1,,,2022,
ENG,Jordan Henderson,1,,,2022,
