code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
ESP,Spain,1934,r16,1,Brazil,BRA,3,1,W,,
ESP,Spain,1934,qf,2,Italy,ITA,1,1,D,,
ESP,Spain,1950,group,3,United States,USA,3,1,W,,
ESP,Spain,1950,group,4,Chile,CHL,2,0,W,,
ESP,Spain,1950,group,5,England,ENG,1,0,W,,
ESP,Spain,1950,group,6,Uruguay,URU,2,2,D,,
ESP,Spain,1950,group,7,Brazil,BRA,1,6,L,,
ESP,Spain,1950,group,8,Sweden,SWE,1,3,L,,
ESP,Spain,1962,group,9,Czechoslovakia,CSK,0,1,L,,
ESP,Spain,1962,group,10,Mexico,MEX,1,0,W,,
ESP,Spain,1962,group,11,Brazil,BRA,1,2,L,,
ESP,Spain,1966,group,12,Argentina,ARG,1,2,L,,
ESP,Spain,1966,group,13,Switzerland,SUI,2,1,W,,
ESP,Spain,1966,group,14,West Germany,GER,1,2,L,,
ESP,Spain,1978,group,15,Austria,AUT,1,2,L,,
ESP,Spain,1978,group,16,Brazil,BRA,0,0,D,,
ESP,Spain,1978,group,17,Sweden,SWE,1,0,W,,
ESP,Spain,1982,group,18,Honduras,HND,1,1,D,,
ESP,Spain,1982,group,19,Yugoslavia,YUG,2,1,W,,
ESP,Spain,1982,group,20,Northern Ireland,NIR,0,1,L,,
ESP,Spain,1982,group2,21,West Germany,GER,1,2,L,,
ESP,Spain,1982,group2,22,England,ENG,0,0,D,,
ESP,Spain,1986,group,23,Brazil,BRA,0,1,L,,
ESP,Spain,1986,group,24,Northern Ireland,NIR,2,1,W,,
ESP,Spain,1986,group,25,Algeria,DZA,3,0,W,,
ESP,Spain,1986,r16,26,Denmark,DEN,5,1,W,,
ESP,Spain,1986,qf,27,Belgium,BEL,1,1,D,,
ESP,Spain,1990,group,28,Uruguay,URU,0,0,D,,
ESP,Spain,1990,group,29,South Korea,KOR,3,1,W,,
ESP,Spain,1990,group,30,Belgium,BEL,2,1,W,,
ESP,Spain,1990,r16,31,Yugoslavia,YUG,1,2,L,,
ESP,Spain,1994,group,32,South Korea,KOR,2,2,D,,
ESP,Spain,1994,group,33,Germany,GER,1,1,D,,
ESP,Spain,1994,group,34,Bolivia,BOL,3,1,W,,
ESP,Spain,1994,r16,35,Switzerland,SUI,3,0,W,,
ESP,Spain,1994,qf,36,Italy,ITA,1,2,L,,
ESP,Spain,1998,group,37,Nigeria,NGA,2,3,L,,
ESP,Spain,1998,group,38,Paraguay,PRY,0,0,D,,
ESP,Spain,1998,group,39,Bulgaria,BGR,6,1,W,,
ESP,Spain,2002,group,40,Slovenia,SVN,3,1,W,,
ESP,Spain,2002,group,41,Paraguay,PRY,3,1,W,,
ESP,Spain,2002,group,42,South Africa,RSA,3,2,W,,
ESP,Spain,2002,r16,43,Republic of Ireland,IRL,1,1,D,,
ESP,Spain,2002,qf,44,South Korea,KOR,0,0,D,,
ESP,Spain,2006,group,45,Ukraine,UKR,4,0,W,,
ESP,Spain,2006,group,46,Tunisia,TUN,3,1,W,,
ESP,Spain,2006,group,47,Saudi Arabia,KSA,1,0,W,,
ESP,Spain,2006,r16,48,France,FRA,1,3,L,,
ESP,Spain,2010,group,49,Switzerland,SUI,0,1,L,,
ESP,Spain,2010,group,50,Honduras,HND,2,0,W,,
ESP,Spain,2010,group,51,Chile,CHL,2,1,W,,
ESP,Spain,2010,r16,52,Portugal,POR,1,0,W,,
ESP,Spain,2010,qf,53,Paraguay,PRY,1,0,W,,
ESP,Spain,2010,sf,54,Germany,GER,1,0,W,,
ESP,Spain,2010,final,55,Netherlands,NED,1,0,W,,
ESP,Spain,2014,group,56,Netherlands,NED,1,5,L,,
ESP,Spain,2014,group,57,Chile,CHL,0,2,L,,
ESP,Spain,2014,group,58,Australia,AUS,3,0,W,,
ESP,Spain,2018,group,59,Portugal,POR,3,3,D,,
ESP,Spain,2018,group,60,Iran,IRN,1,0,W,,
ESP,Spain,2018,group,61,Morocco,MAR,2,2,D,,
ESP,Spain,2018,r16,62,Russia,RUS,1,1,D,,
ESP,Spain,2022,group,63,Costa Rica,CRI,7,0,W,,
ESP,Spain,2022,group,64,Germany,GER,1,1,D,,
ESP,Spain,2022,group,65,Japan,JPN,1,2,L,,
ESP,Spain,2022,r16,66,Morocco,MAR,0,0,D,,
