code,player,wc_goals,wc_assists,wc_apps,years,note
ESP,David Villa,9,,,2006;2010;2014,
ESP,Emilio Butragueño,5,,,1986,
ESP,Fernando Hierro,5,,,1994;1998;2002,
ESP,Raúl,5,,,1998;2002;2006,
ESP,Fernando Morientes,5,,,1998;2002,
ESP,Estanislau Basora,4,,,1950,
ESP,Telmo Zarra,4,,,1950,
ESP,Míchel,4,,,1990,
ESP,Fernando Torres,4,,,2006;2014,
ESP,Julio Salinas,3,,,1986;1990;1994,
ESP,José Luis Caminero,3,,,1994,
ESP,Diego Costa,3,,,2018,
ESP,Álvaro Morata,3,,,2022,
ESP,José Iraragorri,2,,,1934,
ESP,Silvestre Igoa,2,,,1950,
ESP,Ramón Calderé,2,,,1986,
ESP,Andoni Goikoetxea,2,,,1994,
ESP,Luis Enrique,2,,,1994;1998,
ESP,Carles Puyol,2,,,2002;2010,
ESP,Xabi Alonso,2,,,2006;2014,
ESP,Andrés Iniesta,2,,,2010,
ESP,Ferran Torres,2,,,2022,
ESP,Isidro Lángara,1,,,1934,
ESP,Luis Regueiro,1,,,1934,
ESP,Joaquín Peiró,1,,,1962,
ESP,Adelardo,1,,,1962,
ESP,Pirri,1,,,1966,
ESP,Manuel Sanchís,1,,,1966,
ESP,Amancio,1,,,1966,
ESP,Josep Maria Fusté,1,,,1966,
ESP,Dani,1,,,1978,
ESP,Juan Manuel Asensi,1,,,1978,
ESP,Roberto López Ufarte,1,,,1982,
ESP,Juanito,1,,,1982,
ESP,Enrique Saura,1,,,1982,
ESP,Jesús María Zamora,1,,,1982,
ESP,Eloy,1,,,1986,
ESP,Andoni Goikoetxea,1,,,1986,
ESP,Juan Antonio Señor,1,,,1986,
ESP,Alberto Górriz,1,,,1990,
ESP,Josep Guardiola,1,,,1994,
ESP,Txiki Begiristain,1,,,1994,
ESP,Andoni Zubizarreta,1,,,1998,
ESP,Kiko,1,,,1998,
ESP,Juan Carlos Valerón,1,,,2002,
ESP,Gaizka Mendieta,1,,,2002,
ESP,Juanito,1,,,2006,
ESP,Juan Mata,1,,,2014,
ESP,Nacho,1,,,2018,
ESP,Isco,1,,,2018,
ESP,Iago Aspas,1,,,2018,
ESP,Dani Olmo,1,,,2022,
ESP,Marco Asensio,1,,,2022,
ESP,Gavi,1,,,2022,
ESP,Carlos Soler,1,,,2022,
