code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
FRA,France,1930,group,1,Mexico,MEX,4,1,W,,
FRA,France,1930,group,2,Argentina,ARG,0,1,L,,
FRA,France,1930,group,3,Chile,CHL,0,1,L,,
FRA,France,1934,r16,4,Austria,AUT,2,3,L,,
FRA,France,1938,r16,5,Belgium,BEL,3,1,W,,
FRA,France,1938,qf,6,Italy,ITA,1,3,L,,
FRA,France,1954,group,7,Yugoslavia,YUG,0,1,L,,
FRA,France,1954,group,8,Mexico,MEX,3,2,W,,
FRA,France,1958,group,9,Paraguay,PRY,7,3,W,,
FRA,France,1958,group,10,Yugoslavia,YUG,2,3,L,,
FRA,France,1958,group,11,Scotland,SCO,2,1,W,,
FRA,France,1958,qf,12,Northern Ireland,NIR,4,0,W,,
FRA,France,1958,sf,13,Brazil,BRA,2,5,L,,
FRA,France,1958,third,14,West Germany,GER,6,3,W,,
FRA,France,1966,group,15,Mexico,MEX,1,1,D,,
FRA,France,1966,group,16,Uruguay,URU,1,2,L,,
FRA,France,1966,group,17,England,ENG,0,2,L,,
FRA,France,1978,group,18,Italy,ITA,1,2,L,,
FRA,France,1978,group,19,Argentina,ARG,1,2,L,,
FRA,France,1978,group,20,Hungary,HUN,3,1,W,,
FRA,France,1982,group,21,England,ENG,1,3,L,,
FRA,France,1982,group,22,Kuwait,KWT,4,1,W,,
FRA,France,1982,group,23,Czechoslovakia,CSK,1,1,D,,
FRA,France,1982,group2,24,Austria,AUT,1,0,W,,
FRA,France,1982,group2,25,Northern Ireland,NIR,4,1,W,,
FRA,France,1982,sf,26,West Germany,GER,3,3,D,,
FRA,France,1982,third,27,Poland,POL,2,3,L,,
FRA,France,1986,group,28,Canada,CAN,1,0,W,,
FRA,France,1986,group,29,Soviet Union,SUN,1,1,D,,
FRA,France,1986,group,30,Hungary,HUN,3,0,W,,
FRA,France,1986,r16,31,Italy,ITA,2,0,W,,
FRA,France,1986,qf,32,Brazil,BRA,1,1,D,,
FRA,France,1986,sf,33,West Germany,GER,0,2,L,,
FRA,France,1986,third,34,Belgium,BEL,4,2,W,,
FRA,France,1998,group,35,South Africa,RSA,3,0,W,,
FRA,France,1998,group,36,Saudi Arabia,KSA,4,0,W,,
FRA,France,1998,group,37,Denmark,DEN,2,1,W,,
FRA,France,1998,r16,38,Paraguay,PRY,1,0,W,,
FRA,France,1998,qf,39,Italy,ITA,0,0,D,,
FRA,France,1998,sf,40,Croatia,CRO,2,1,W,,
FRA,France,1998,final,41,Brazil,BRA,3,0,W,,
FRA,France,2002,group,42,Senegal,SEN,0,1,L,,
FRA,France,2002,group,43,Uruguay,URU,0,0,D,,
FRA,France,2002,group,44,Denmark,DEN,0,2,L,,
FRA,France,2006,group,45,Switzerland,SUI,0,0,D,,
FRA,France,2006,group,46,South Korea,KOR,1,1,D,,
FRA,France,2006,group,47,Togo,TGO,2,0,W,,
FRA,France,2006,r16,48,Spain,ESP,3,1,W,,
FRA,France,2006,qf,49,Brazil,BRA,1,0,W,,
FRA,France,2006,sf,50,Portugal,POR,1,0,W,,
FRA,France,2006,final,51,Italy,ITA,1,1,D,,
FRA,France,2010,group,52,Uruguay,URU,0,0,D,,
FRA,France,2010,group,53,Mexico,MEX,0,2,L,,
FRA,France,2010,group,54,South Africa,RSA,1,2,L,,
FRA,France,2014,group,55,Honduras,HND,3,0,W,,
FRA,France,2014,group,56,Switzerland,SUI,5,2,W,,
FRA,France,2014,group,57,Ecuador,ECU,0,0,D,,
FRA,France,2014,r16,58,Nigeria,NGA,2,0,W,,
FRA,France,2014,qf,59,Germany,GER,0,1,L,,
FRA,France,2018,group,60,Australia,AUS,2,1,W,,
FRA,France,2018,group,61,Peru,PER,1,0,W,,
FRA,France,2018,group,62,Denmark,DEN,0,0,D,,
FRA,France,2018,r16,63,Argentina,ARG,4,3,W,,
FRA,France,2018,qf,64,Uruguay,URU,2,0,W,,
FRA,France,2018,sf,65,Belgium,BEL,1,0,W,,
FRA,France,2018,final,66,Croatia,CRO,4,2,W,,
FRA,France,2022,group,67,Australia,AUS,4,1,W,,
FRA,France,2022,group,68,Denmark,DEN,2,1,W,,
FRA,France,2022,group,69,Tunisia,TUN,0,1,L,,
FRA,France,2022,r16,70,Poland,POL,3,1,W,,
FRA,France,2022,qf,71,England,ENG,2,1,W,,
FRA,France,2022,sf,72,Morocco,MAR,2,0,W,,
FRA,France,2022,final,73,Argentina,ARG,3,3,D,,
