code,player,wc_goals,wc_assists,wc_apps,years,note
FRA,Just Fontaine,13,,,1958,
FRA,Kylian Mbappé,12,,,2018;2022,
FRA,Thierry Henry,6,,,1998;2006,
FRA,Michel Platini,5,,,1978;1982;1986,
FRA,Zinedine Zidane,5,,,1998;2006,
FRA,Olivier Giroud,5,,,2014;2022,
FRA,Raymond Kopa,4,,,1954;1958,
FRA,Dominique Rocheteau,4,,,1978;1982;1986,
FRA,Antoine Griezmann,4,,,2018,
FRA,Jean Nicolas,3,,,1934;1938,
FRA,Roger Piantoni,3,,,1958,
FRA,Bernard Genghini,3,,,1982;1986,
FRA,Alain Giresse,3,,,1982,
FRA,Karim Benzema,3,,,2014,
FRA,André Maschinot,2,,,1930,
FRA,Jean Vincent,2,,,1954;1958,
FRA,Maryan Wisnieski,2,,,1958,
FRA,Didier Six,2,,,1982,
FRA,Jean-Pierre Papin,2,,,1986,
FRA,Yannick Stopyra,2,,,1986,
FRA,Emmanuel Petit,2,,,1998,
FRA,Lilian Thuram,2,,,1998,
FRA,Patrick Vieira,2,,,2006,
FRA,Paul Pogba,2,,,2014;2018,
FRA,Lucien Laurent,1,,,1930,
FRA,Marcel Langiller,1,,,1930,
FRA,Georges Verriest,1,,,1934,
FRA,Émile Veinante,1,,,1938,
FRA,Oscar Heisserer,1,,,1938,
FRA,Yvon Douis,1,,,1958,
FRA,Gérard Hausser,1,,,1966,
FRA,Héctor De Bourgoing,1,,,1966,
FRA,Bernard Lacombe,1,,,1978,
FRA,Christian Lopez,1,,,1978,
FRA,Marc Berdoll,1,,,1978,
FRA,Gérard Soler,1,,,1982,
FRA,Maxime Bossis,1,,,1982,
FRA,Marius Trésor,1,,,1982,
FRA,René Girard,1,,,1982,
FRA,Alain Couriol,1,,,1982,
FRA,Luis Fernández,1,,,1986,
FRA,Jean Tigana,1,,,1986,
FRA,Jean-Marc Ferreri,1,,,1986,
FRA,Manuel Amoros,1,,,1986,
FRA,Christophe Dugarry,1,,,1998,
FRA,David Trezeguet,1,,,1998,
FRA,Bixente Lizarazu,1,,,1998,
FRA,Youri Djorkaeff,1,,,1998,
FRA,Laurent Blanc,1,,,1998,
FRA,Franck Ribéry,1,,,2006,
FRA,Florent Malouda,1,,,2010,
FRA,Blaise Matuidi,1,,,2014,
FRA,Mathieu Valbuena,1,,,2014,
FRA,Moussa Sissoko,1,,,2014,
FRA,Benjamin Pavard,1,,,2018,
FRA,Raphaël Varane,1,,,2018,
FRA,Samuel Umtiti,1,,,2018,
FRA,Adrien Rabiot,1,,,2022,
FRA,Aurélien Tchouaméni,1,,,2022,
FRA,Théo Hernandez,1,,,2022,
FRA,Randal Kolo Muani,1,,,2022,
