code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
GER,Germany,1934,r16,1,Belgium,BEL,5,2,W,,
GER,Germany,1934,qf,2,Sweden,SWE,2,1,W,,
GER,Germany,1934,sf,3,Czechoslovakia,CSK,1,3,L,,
GER,Germany,1934,third,4,Austria,AUT,3,2,W,,
GER,Germany,1938,r16,5,Switzerland,SUI,1,1,D,,
GER,West Germany,1954,group,6,Turkey,TUR,4,1,W,,
GER,West Germany,1954,group,7,Hungary,HUN,3,8,L,,
GER,West Germany,1954,group,8,Turkey,TUR,7,2,W,,
GER,West Germany,1954,qf,9,Yugoslavia,YUG,2,0,W,,
GER,West Germany,1954,sf,10,Austria,AUT,6,1,W,,
GER,West Germany,1954,final,11,Hungary,HUN,3,2,W,,
GER,West Germany,1958,group,12,Argentina,ARG,3,1,W,,
GER,West Germany,1958,group,13,Czechoslovakia,CSK,2,2,D,,
GER,West Germany,1958,group,14,Northern Ireland,NIR,2,2,D,,
GER,West Germany,1958,qf,15,Yugoslavia,YUG,1,0,W,,
GER,West Germany,1958,sf,16,Sweden,SWE,1,3,L,,
GER,West Germany,1958,third,17,France,FRA,3,6,L,,
GER,West Germany,1962,group,18,Italy,ITA,0,0,D,,
GER,West Germany,1962,group,19,Switzerland,SUI,2,1,W,,
GER,West Germany,1962,group,20,Chile,CHL,2,0,W,,
GER,West Germany,1962,qf,21,Yugoslavia,YUG,0,1,L,,
GER,West Germany,1966,group,22,Switzerland,SUI,5,0,W,,
GER,West Germany,1966,group,23,Argentina,ARG,0,0,D,,
GER,West Germany,1966,group,24,Spain,ESP,2,1,W,,
GER,West Germany,1966,qf,25,Uruguay,URU,4,0,W,,
GER,West Germany,1966,sf,26,Soviet Union,SUN,2,1,W,,
GER,West Germany,1966,final,27,England,ENG,2,4,L,,
GER,West Germany,1970,group,28,Morocco,MAR,2,1,W,,
GER,West Germany,1970,group,29,Bulgaria,BGR,5,2,W,,
GER,West Germany,1970,group,30,Peru,PER,3,1,W,,
GER,West Germany,1970,qf,31,England,ENG,3,2,W,,
GER,West Germany,1970,sf,32,Italy,ITA,3,4,L,,
GER,West Germany,1970,third,33,Uruguay,URU,1,0,W,,
GER,West Germany,1974,group,34,Chile,CHL,1,0,W,,
GER,West Germany,1974,group,35,Australia,AUS,3,0,W,,
GER,West Germany,1974,group,36,East Germany,DDR,0,1,L,,
GER,West Germany,1974,group2,37,Yugoslavia,YUG,2,0,W,,
GER,West Germany,1974,group2,38,Sweden,SWE,4,2,W,,
GER,West Germany,1974,group2,39,Poland,POL,1,0,W,,
GER,West Germany,1974,final,40,Netherlands,NED,2,1,W,,
GER,West Germany,1978,group,41,Poland,POL,0,0,D,,
GER,West Germany,1978,group,42,Mexico,MEX,6,0,W,,
GER,West Germany,1978,group,43,Tunisia,TUN,0,0,D,,
GER,West Germany,1978,group2,44,Italy,ITA,0,0,D,,
GER,West Germany,1978,group2,45,Netherlands,NED,2,2,D,,
GER,West Germany,1978,group2,46,Austria,AUT,2,3,L,,
GER,West Germany,1982,group,47,Algeria,DZA,1,2,L,,
GER,West Germany,1982,group,48,Chile,CHL,4,1,W,,
GER,West Germany,1982,group,49,Austria,AUT,1,0,W,,
GER,West Germany,1982,group2,50,England,ENG,0,0,D,,
GER,West Germany,1982,group2,51,Spain,ESP,2,1,W,,
GER,West Germany,1982,sf,52,France,FRA,3,3,D,,
GER,West Germany,1982,final,53,Italy,ITA,1,3,L,,
GER,West Germany,1986,group,54,Uruguay,URU,1,1,D,,
GER,West Germany,1986,group,55,Scotland,SCO,2,1,W,,
GER,West Germany,1986,group,56,Denmark,DEN,0,2,L,,
