code,player,wc_goals,wc_assists,wc_apps,years,note
GER,Miroslav Klose,16,,,2002;2006;2010;2014,
GER,Gerd Müller,14,,,1970;1974,
GER,Jürgen Klinsmann,11,,,1990;1994;1998,
GER,Helmut Rahn,10,,,1954;1958,
GER,Thomas Müller,10,,,2010;2014,
GER,Uwe Seeler,9,,,1958;1962;1966;1970,
GER,Karl-Heinz Rummenigge,9,,,1978;1982;1986,
GER,Rudi Völler,8,,,1986;1990;1994,
GER,Hans Schäfer,7,,,1954;1958,
GER,Max Morlock,6,,,1954,
GER,Helmut Haller,6,,,1966,
GER,Lothar Matthäus,6,,,1986;1990;1994,
GER,Franz Beckenbauer,5,,,1966;1970,
GER,Lukas Podolski,5,,,2006;2010,
GER,Edmund Conen,4,,,1934,
GER,Ottmar Walter,4,,,1954,
GER,Paul Breitner,4,,,1974;1982,
GER,Andreas Brehme,4,,,1986;1990,
GER,Oliver Bierhoff,4,,,1998;2002,
GER,Fritz Walter,3,,,1954,
GER,Wolfgang Overath,3,,,1970;1974,
GER,Pierre Littbarski,3,,,1982;1990,
GER,Michael Ballack,3,,,2002,
GER,André Schürrle,3,,,2014,
GER,Toni Kroos,3,,,2014;2018,
GER,Karl Hohmann,2,,,1934,
GER,Ernst Lehner,2,,,1934,
GER,Dieter Müller,2,,,1978,
GER,Heinz Flohe,2,,,1978,
GER,Klaus Fischer,2,,,1982,
GER,Klaus Allofs,2,,,1986,
GER,Oliver Neuville,2,,,2002;2006,
GER,Bastian Schweinsteiger,2,,,2006,
GER,Mesut Özil,2,,,2010;2014,
GER,Sami Khedira,2,,,2010;2014,
GER,Mats Hummels,2,,,2014,
GER,Mario Götze,2,,,2014,
GER,Niclas Füllkrug,2,,,2022,
GER,Kai Havertz,2,,,2022,
GER,Stanislaus Kobierski,1,,,1934,
GER,Otto Siffling,1,,,1934,
GER,Rudolf Noack,1,,,1934,
GER,Josef Gauchel,1,,,1938,
GER,Wilhelm Hahnemann,1,,,1938,
GER,Bernhard Klodt,1,,,1954,
GER,Alfred Pfaff,1,,,1954,
GER,Richard Herrmann,1,,,1954,
GER,Hans Cieslarczyk,1,,,1958,
GER,Albert Brülls,1,,,1962,
GER,Horst Szymaniak,1,,,1962,
GER,Sigfried Held,1,,,1966,
GER,Lothar Emmerich,1,,,1966,
GER,Wolfgang Weber,1,,,1966,
GER,Reinhard Libuda,1,,,1970,
GER,Karl-Heinz Schnellinger,1,,,1970,
GER,Bernhard Cullmann,1,,,1974,
GER,Rainer Bonhof,1,,,1974,
GER,Jürgen Grabowski,1,,,1974,
GER,Uli Hoeneß,1,,,1974,
GER,Hansi Müller,1,,,1978,
GER,Rüdiger Abramczik,1,,,1978,
GER,Berti Vogts,1,,,1978,
GER,Bernd Hölzenbein,1,,,1978,
GER,Uwe Reinders,1,,,1982,
GER,Horst Hrubesch,1,,,1982,
GER,Uwe Bein,1,,,1990,
GER,Karl-Heinz Riedle,1,,,1994,
GER,Andreas Möller,1,,,1998,
GER,Carsten Jancker,1,,,2002,
GER,Thomas Linke,1,,,2002,
GER,Bernd Schneider,1,,,2002,
GER,Marco Bode,1,,,2002,
GER,Philipp Lahm,1,,,2006,
GER,Torsten Frings,1,,,2006,
GER,Cacau,1,,,2010,
GER,Arne Friedrich,1,,,2010,
GER,Marcell Jansen,1,,,2010,
GER,Marco Reus,1,,,2018,
GER,İlkay Gündoğan,1,,,2022,
GER,Serge Gnabry,1,,,2022,
