code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
GHA,Ghana,2006,group,1,Italy,ITA,0,2,L,,
GHA,Ghana,2006,group,2,Czech Republic,CZE,2,0,W,,
GHA,Ghana,2006,group,3,United States,USA,2,1,W,,
GHA,Ghana,2006,r16,4,Brazil,BRA,0,3,L,,
GHA,Ghana,2010,group,5,Serbia,SRB,1,0,W,,
GHA,Ghana,2010,group,6,Australia,AUS,1,1,D,,
GHA,Ghana,2010,group,7,Germany,GER,0,1,L,,
GHA,Ghana,2010,r16,8,United States,USA,2,1,W,,
GHA,Ghana,2010,qf,9,Uruguay,URU,1,1,D,,
GHA,Ghana,2014,group,10,United States,USA,1,2,L,,
GHA,Ghana,2014,group,11,Germany,GER,2,2,D,,
GHA,Ghana,2014,group,12,Portugal,POR,1,2,L,,
GHA,Ghana,2022,group,13,Portugal,POR,2,3,L,,
GHA,Ghana,2022,group,14,South Korea,KOR,3,2,W,,
GHA,Ghana,2022,group,15,Uruguay,URU,0,2,L,,
