code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
GRC,Greece,1994,group,1,Argentina,ARG,0,4,L,,
GRC,Greece,1994,group,2,Bulgaria,BGR,0,4,L,,
GRC,Greece,1994,group,3,Nigeria,NGA,0,2,L,,
GRC,Greece,2010,group,4,South Korea,KOR,0,2,L,,
GRC,Greece,2010,group,5,Nigeria,NGA,2,1,W,,
GRC,Greece,2010,group,6,Argentina,ARG,0,2,L,,
GRC,Greece,2014,group,7,Colombia,COL,0,3,L,,
GRC,Greece,2014,group,8,Japan,JPN,0,0,D,,
GRC,Greece,2014,group,9,Ivory Coast,CIV,2,1,W,,
GRC,Greece,2014,r16,10,Costa Rica,CRI,1,1,D,,
