code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
HUN,Hungary,1934,r16,1,Egypt,EGY,4,2,W,,
HUN,Hungary,1934,qf,2,Austria,AUT,1,2,L,,
HUN,Hungary,1938,r16,3,Dutch East Indies,IDN,6,0,W,,
HUN,Hungary,1938,qf,4,Switzerland,SUI,2,0,W,,
HUN,Hungary,1938,sf,5,Sweden,SWE,5,1,W,,
HUN,Hungary,1938,final,6,Italy,ITA,2,4,L,,
HUN,Hungary,1954,group,7,South Korea,KOR,9,0,W,,
HUN,Hungary,1954,group,8,West Germany,GER,8,3,W,,
HUN,Hungary,1954,qf,9,Brazil,BRA,4,2,W,,
HUN,Hungary,1954,sf,10,Uruguay,URU,4,2,W,,
HUN,Hungary,1954,final,11,West Germany,GER,2,3,L,,
HUN,Hungary,1958,group,12,Wales,WAL,1,1,D,,
HUN,Hungary,1958,group,13,Sweden,SWE,1,2,L,,
HUN,Hungary,1958,group,14,Mexico,MEX,4,0,W,,
HUN,Hungary,1958,group,15,Wales,WAL,1,2,L,,
HUN,Hungary,1962,group,16,England,ENG,2,1,W,,
HUN,Hungary,1962,group,17,Bulgaria,BGR,6,1,W,,
HUN,Hungary,1962,group,18,Argentina,ARG,0,0,D,,
HUN,Hungary,1962,qf,19,Czechoslovakia,CSK,0,1,L,,
HUN,Hungary,1966,group,20,Portugal,POR,1,3,L,,
HUN,Hungary,1966,group,21,Brazil,BRA,3,1,W,,
HUN,Hungary,1966,group,22,Bulgaria,BGR,3,1,W,,
HUN,Hungary,1966,qf,23,Soviet Union,SUN,1,2,L,,
HUN,Hungary,1978,group,24,Argentina,ARG,1,2,L,,
HUN,Hungary,1978,group,25,Italy,ITA,1,3,L,,
HUN,Hungary,1978,group,26,France,FRA,1,3,L,,
HUN,Hungary,1982,group,27,El Salvador,SLV,10,1,W,,
HUN,Hungary,1982,group,28,Argentina,ARG,1,4,L,,
HUN,Hungary,1982,group,29,Belgium,BEL,1,1,D,,
HUN,Hungary,1986,group,30,Soviet Union,SUN,0,6,L,,
HUN,Hungary,1986,group,31,Canada,CAN,2,0,W,,
HUN,Hungary,1986,group,32,France,FRA,0,3,L,,
