code,player,wc_goals,wc_assists,wc_apps,years,note
HUN,Sándor Kocsis,11,,,1954,
HUN,Lajos Tichy,7,,,1958;1962,
HUN,György Sárosi,6,,,1934;1938,
HUN,Gyula Zsengellér,5,,,1938,
HUN,Ferenc Puskás,4,,,1954,
HUN,Nándor Hidegkuti,4,,,1954,
HUN,Flórián Albert,4,,,1962,
HUN,Ferenc Bene,4,,,1966,
HUN,Géza Toldi,3,,,1934;1938,
HUN,Zoltán Czibor,3,,,1954,
HUN,László Kiss,3,,,1982,
HUN,Pál Titkos,2,,,1938,
HUN,Mihály Lantos,2,,,1954,
HUN,Péter Palotás,2,,,1954,
HUN,Kálmán Mészöly,2,,,1966,
HUN,Tibor Nyilasi,2,,,1982,
HUN,Gábor Pölöskei,2,,,1982,
HUN,László Fazekas,2,,,1982,
HUN,Pál Teleki,1,,,1934,
HUN,Jenő Vincze,1,,,1934,
HUN,Vilmos Kohut,1,,,1938,
HUN,József Tóth,1,,,1954,
HUN,József Bozsik,1,,,1958,
HUN,Károly Sándor,1,,,1958,
HUN,József Bencsics,1,,,1958,
HUN,Ernő Solymosi,1,,,1962,
HUN,János Farkas,1,,,1966,
HUN,Károly Csapó,1,,,1978,
HUN,András Tóth,1,,,1978,
HUN,Sándor Zombori,1,,,1978,
HUN,József Tóth,1,,,1982,
HUN,Lázár Szentes,1,,,1982,
HUN,József Varga,1,,,1982,
HUN,László Dajka,1,,,1986,
HUN,Márton Esterházy,1,,,1986,
HUN,Lajos Détári,1,,,1986,
