code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
IRL,Republic of Ireland,1990,group,1,England,ENG,1,1,D,,
IRL,Republic of Ireland,1990,group,2,Egypt,EGY,0,0,D,,
IRL,Republic of Ireland,1990,group,3,Netherlands,NED,1,1,D,,
IRL,Republic of Ireland,1990,r16,4,Romania,ROU,0,0,D,,
IRL,Republic of Ireland,1990,qf,5,Italy,ITA,0,1,L,,
IRL,Republic of Ireland,1994,group,6,Italy,ITA,1,0,W,,
IRL,Republic of Ireland,1994,group,7,Mexico,MEX,1,2,L,,
IRL,Republic of Ireland,1994,group,8,Norway,NOR,0,0,D,,
IRL,Republic of Ireland,1994,r16,9,Netherlands,NED,0,2,L,,
IRL,Republic of Ireland,2002,group,10,Cameroon,CMR,1,1,D,,
IRL,Republic of Ireland,2002,group,11,Germany,GER,1,1,D,,
IRL,Republic of Ireland,2002,group,12,Saudi Arabia,KSA,3,0,W,,
IRL,Republic of Ireland,2002,r16,13,Spain,ESP,1,1,D,,
