code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
IRN,Iran,1978,group,1,Netherlands,NED,0,3,L,,
IRN,Iran,1978,group,2,Scotland,SCO,1,1,D,,
IRN,Iran,1978,group,3,Peru,PER,1,4,L,,
IRN,Iran,1998,group,4,Yugoslavia,YUG,0,1,L,,
IRN,Iran,1998,group,5,United States,USA,2,1,W,,
IRN,Iran,1998,group,6,Germany,GER,0,2,L,,
IRN,Iran,2006,group,7,Mexico,MEX,1,3,L,,
IRN,Iran,2006,group,8,Portugal,POR,0,2,L,,
IRN,Iran,2006,group,9,Angola,AGO,1,1,D,,
IRN,Iran,2014,group,10,Nigeria,NGA,0,0,D,,
IRN,Iran,2014,group,11,Argentina,ARG,0,1,L,,
IRN,Iran,2014,group,12,Bosnia and Herzegovina,BIH,1,3,L,,
IRN,Iran,2018,group,13,Morocco,MAR,1,0,W,,
IRN,Iran,2018,group,14,Spain,ESP,0,1,L,,
IRN,Iran,2018,group,15,Portugal,POR,1,1,D,,
IRN,Iran,2022,group,16,England,ENG,2,6,L,,
IRN,Iran,2022,group,17,Wales,WAL,2,0,W,,
IRN,Iran,2022,group,18,United States,USA,0,1,L,,
