code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
ITA,Italy,1934,r16,1,United States,USA,7,1,W,,
ITA,Italy,1934,qf,2,Spain,ESP,1,1,D,,
ITA,Italy,1934,sf,3,Austria,AUT,1,0,W,,
ITA,Italy,1934,final,4,Czechoslovakia,CSK,2,1,W,,
ITA,Italy,1938,r16,5,Norway,NOR,2,1,W,,
ITA,Italy,1938,qf,6,France,FRA,3,1,W,,
ITA,Italy,1938,sf,7,Brazil,BRA,2,1,W,,
ITA,Italy,1938,final,8,Hungary,HUN,4,2,W,,
ITA,Italy,1950,group,9,Sweden,SWE,2,3,L,,
ITA,Italy,1950,group,10,Paraguay,PRY,2,0,W,,
ITA,Italy,1954,group,11,Switzerland,SUI,1,2,L,,
ITA,Italy,1954,group,12,Belgium,BEL,4,1,W,,
ITA,Italy,1954,group,13,Switzerland,SUI,1,4,L,,
ITA,Italy,1962,group,14,West Germany,GER,0,0,D,,
ITA,Italy,1962,group,15,Chile,CHL,0,2,L,,
ITA,Italy,1962,group,16,Switzerland,SUI,3,0,W,,
ITA,Italy,1966,group,17,Chile,CHL,2,0,W,,
ITA,Italy,1966,group,18,Soviet Union,SUN,0,1,L,,
ITA,Italy,1966,group,19,North Korea,PRK,0,1,L,,
ITA,Italy,1970,group,20,Sweden,SWE,1,0,W,,
ITA,Italy,1970,group,21,Uruguay,URU,0,0,D,,
ITA,Italy,1970,group,22,Israel,ISR,0,0,D,,
ITA,Italy,1970,qf,23,Mexico,MEX,4,1,W,,
ITA,Italy,1970,sf,24,West Germany,GER,4,3,W,,
ITA,Italy,1970,final,25,Brazil,BRA,1,4,L,,
ITA,Italy,1974,group,26,Haiti,HTI,3,1,W,,
ITA,Italy,1974,group,27,Argentina,ARG,1,1,D,,
ITA,Italy,1974,group,28,Poland,POL,1,2,L,,
ITA,Italy,1978,group,29,France,FRA,2,1,W,,
ITA,Italy,1978,group,30,Hungary,HUN,3,1,W,,
ITA,Italy,1978,group,31,Argentina,ARG,1,0,W,,
ITA,Italy,1978,group2,32,West Germany,GER,0,0,D,,
ITA,Italy,1978,group2,33,Austria,AUT,1,0,W,,
ITA,Italy,1978,group2,34,Netherlands,NED,1,2,L,,
ITA,Italy,1978,third,35,Brazil,BRA,1,2,L,,
ITA,Italy,1982,group,36,Poland,POL,0,0,D,,
ITA,Italy,1982,group,37,Peru,PER,1,1,D,,
ITA,Italy,1982,group,38,Cameroon,CMR,1,1,D,,
ITA,Italy,1982,group2,39,Argentina,ARG,2,1,W,,
ITA,Italy,1982,group2,40,Brazil,BRA,3,2,W,,
ITA,Italy,1982,sf,41,Poland,POL,2,0,W,,
ITA,Italy,1982,final,42,West Germany,GER,3,1,W,,
ITA,Italy,1986,group,43,Bulgaria,BGR,1,1,D,,
ITA,Italy,1986,group,44,Argentina,ARG,1,1,D,,
ITA,Italy,1986,group,45,South Korea,KOR,3,2,W,,
ITA,Italy,1986,r16,46,France,FRA,0,2,L,,
ITA,Italy,1990,group,47,Austria,AUT,1,0,W,,
ITA,Italy,1990,group,48,United States,USA,1,0,W,,
ITA,Italy,1990,group,49,Czechoslovakia,CSK,2,0,W,,
ITA,Italy,1990,r16,50,Uruguay,URU,2,0,W,,
ITA,Italy,1990,qf,51,Republic of Ireland,IRL,1,0,W,,
ITA,Italy,1990,sf,52,Argentina,ARG,1,1,D,,
ITA,Italy,1990,third,53,England,ENG,2,1,W,,
ITA,Italy,1994,group,54,Republic of Ireland,IRL,0,1,L,,
ITA,Italy,1994,group,55,Norway,NOR,1,0,W,,
ITA,Italy,1994,group,56,Mexico,MEX,1,1,D,,
ITA,Italy,1994,r16,57,Nigeria,NGA,2,1,W,,
ITA,Italy,1994,qf,58,Spain,ESP,2,1,W,,
ITA,Italy,1994,sf,59,Bulgaria,BGR,2,1,W,,
ITA,Italy,1994,final,60,Brazil,BRA,0,0,D,,
ITA,Italy,1998,group,61,Chile,CHL,2,2,D,,
ITA,Italy,1998,group,62,Cameroon,CMR,3,0,W,,
ITA,Italy,1998,group,63,Austria,AUT,2,1,W,,
ITA,Italy,1998,r16,64,Norway,NOR,1,0,W,,
ITA,Italy,1998,qf,65,France,FRA,0,0,D,,
ITA,Italy,2002,group,66,Ecuador,ECU,2,0,W,,
ITA,Italy,2002,group,67,Croatia,CRO,1,2,L,,
ITA,Italy,2002,group,68,Mexico,MEX,1,1,D,,
ITA,Italy,2002,r16,69,South Korea,KOR,1,2,L,,
ITA,Italy,2006,group,70,Ghana,GHA,2,0,W,,
ITA,Italy,2006,group,71,United States,USA,1,1,D,,
ITA,Italy,2006,group,72,Czech Republic,CZE,2,0,W,,
ITA,Italy,2006,r16,73,Australia,AUS,1,0,W,,
ITA,Italy,2006,qf,74,Ukraine,UKR,3,0,W,,
ITA,Italy,2006,sf,75,Germany,GER,2,0,W,,
ITA,Italy,2006,final,76,France,FRA,1,1,D,,
ITA,Italy,2010,group,77,Paraguay,PRY,1,1,D,,
ITA,Italy,2010,group,78,New Zealand,NZL,1,1,D,,
ITA,Italy,2010,group,79,Slovakia,SVK,2,3,L,,
ITA,Italy,2014,group,80,England,ENG,2,1,W,,
ITA,Italy,2014,group,81,Costa Rica,CRI,0,1,L,,
ITA,Italy,2014,group,82,Uruguay,URU,0,1,L,,
