code,player,wc_goals,wc_assists,wc_apps,years,note
ITA,Paolo Rossi,9,,,1978;1982,
ITA,Roberto Baggio,9,,,1990;1994;1998,
ITA,Christian Vieri,9,,,1998;2002,
ITA,Salvatore Schillaci,6,,,1990,
ITA,Silvio Piola,5,,,1938,
ITA,Alessandro Altobelli,5,,,1982;1986,
ITA,Angelo Schiavio,4,,,1934,
ITA,Gino Colaussi,4,,,1938,
ITA,Raimundo Orsi,3,,,1934,
ITA,Giuseppe Meazza,3,,,1934;1938,
ITA,Gigi Riva,3,,,1970,
ITA,Gianni Rivera,3,,,1970;1974,
ITA,Giovanni Ferrari,2,,,1934,
ITA,Riccardo Carapellese,2,,,1950,
ITA,Egisto Pandolfini,2,,,1950;1954,
ITA,Giacomo Bulgarelli,2,,,1962,
ITA,Roberto Boninsegna,2,,,1970,
ITA,Romeo Benetti,2,,,1974;1978,
ITA,Roberto Bettega,2,,,1978,
ITA,Marco Tardelli,2,,,1982,
ITA,Dino Baggio,2,,,1994,
ITA,Alessandro Del Piero,2,,,2002;2006,
ITA,Vincenzo Iaquinta,2,,,2006;2010,
ITA,Marco Materazzi,2,,,2006,
ITA,Luca Toni,2,,,2006,
ITA,Enrique Guaita,1,,,1934,
ITA,Pietro Ferraris,1,,,1938,
ITA,Ermes Muccinelli,1,,,1950,
ITA,Giampiero Boniperti,1,,,1954,
ITA,Carlo Galli,1,,,1954,
ITA,Amleto Frignani,1,,,1954,
ITA,Benito Lorenzi,1,,,1954,
ITA,Fulvio Nesti,1,,,1954,
ITA,Bruno Mora,1,,,1962,
ITA,Sandro Mazzola,1,,,1966,
ITA,Paolo Barison,1,,,1966,
ITA,Angelo Domenghini,1,,,1970,
ITA,Tarcisio Burgnich,1,,,1970,
ITA,Pietro Anastasi,1,,,1974,
ITA,Fabio Capello,1,,,1974,
ITA,Renato Zaccarelli,1,,,1978,
ITA,Franco Causio,1,,,1978,
ITA,Bruno Conti,1,,,1982,
ITA,Francesco Graziani,1,,,1982,
ITA,Antonio Cabrini,1,,,1982,
ITA,Giuseppe Giannini,1,,,1990,
ITA,Aldo Serena,1,,,1990,
ITA,Daniele Massaro,1,,,1994,
ITA,Luigi Di Biagio,1,,,1998,
ITA,Andrea Pirlo,1,,,2006,
ITA,Alberto Gilardino,1,,,2006,
ITA,Cristian Zaccardo,1,,,2006,
ITA,Filippo Inzaghi,1,,,2006,
ITA,Francesco Totti,1,,,2006,
ITA,Gianluca Zambrotta,1,,,2006,
ITA,Fabio Grosso,1,,,2006,
ITA,Daniele De Rossi,1,,,2010,
ITA,Antonio Di Natale,1,,,2010,
ITA,Fabio Quagliarella,1,,,2010,
ITA,Claudio Marchisio,1,,,2014,
ITA,Mario Balotelli,1,,,2014,
