code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
JPN,Japan,1998,group,1,Argentina,ARG,0,1,L,,
JPN,Japan,1998,group,2,Croatia,CRO,0,1,L,,
JPN,Japan,1998,group,3,Jamaica,JAM,1,2,L,,
JPN,Japan,2002,group,4,Belgium,BEL,2,2,D,,
JPN,Japan,2002,group,5,Russia,RUS,1,0,W,,
JPN,Japan,2002,group,6,Tunisia,TUN,2,0,W,,
JPN,Japan,2002,r16,7,Turkey,TUR,0,1,L,,
JPN,Japan,2006,group,8,Australia,AUS,1,3,L,,
JPN,Japan,2006,group,9,Croatia,CRO,0,0,D,,
JPN,Japan,2006,group,10,Brazil,BRA,1,4,L,,
JPN,Japan,2010,group,11,Cameroon,CMR,1,0,W,,
JPN,Japan,2010,group,12,Netherlands,NED,0,1,L,,
JPN,Japan,2010,group,13,Denmark,DEN,3,1,W,,
JPN,Japan,2010,r16,14,Paraguay,PRY,0,0,D,,
JPN,Japan,2014,group,15,Ivory Coast,CIV,1,2,L,,
JPN,Japan,2014,group,16,Greece,GRC,0,0,D,,
JPN,Japan,2014,group,17,Colombia,COL,1,4,L,,
JPN,Japan,2018,group,18,Colombia,COL,2,1,W,,
JPN,Japan,2018,group,19,Senegal,SEN,2,2,D,,
JPN,Japan,2018,group,20,Poland,POL,0,1,L,,
JPN,Japan,2018,r16,21,Belgium,BEL,2,3,L,,
JPN,Japan,2022,group,22,Germany,GER,2,1,W,,
JPN,Japan,2022,group,23,Costa Rica,CRI,0,1,L,,
JPN,Japan,2022,group,24,Spain,ESP,2,1,W,,
JPN,Japan,2022,r16,25,Croatia,CRO,1,1,D,,
