code,player,wc_goals,wc_assists,wc_apps,years,note
JPN,Keisuke Honda,4,,,2010;2014;2018,
JPN,Junichi Inamoto,2,,,2002,
JPN,Shinji Okazaki,2,,,2010;2014,
JPN,Takashi Inui,2,,,2018,
JPN,Ritsu Dōan,2,,,2022,
JPN,Masashi Nakayama,1,,,1998,
JPN,Takayuki Suzuki,1,,,2002,
JPN,Hiroaki Morishima,1,,,2002,
JPN,Hidetoshi Nakata,1,,,2002,
JPN,Shunsuke Nakamura,1,,,2006,
JPN,Keiji Tamada,1,,,2006,
JPN,Yasuhito Endō,1,,,2010,
JPN,Shinji Kagawa,1,,,2018,
JPN,Yuya Osako,1,,,2018,
JPN,Genki Haraguchi,1,,,2018,
JPN,Takuma Asano,1,,,2022,
JPN,Ao Tanaka,1,,,2022,
JPN,Daizen Maeda,1,,,2022,
