code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
KOR,South Korea,1954,group,1,Hungary,HUN,0,9,L,,
KOR,South Korea,1954,group,2,Turkey,TUR,0,7,L,,
KOR,South Korea,1986,group,3,Argentina,ARG,1,3,L,,
KOR,South Korea,1986,group,4,Bulgaria,BGR,1,1,D,,
KOR,South Korea,1986,group,5,Italy,ITA,2,3,L,,
KOR,South Korea,1990,group,6,Belgium,BEL,0,2,L,,
KOR,South Korea,1990,group,7,Spain,ESP,1,3,L,,
KOR,South Korea,1990,group,8,Uruguay,URU,0,1,L,,
KOR,South Korea,1994,group,9,Spain,ESP,2,2,D,,
KOR,South Korea,1994,group,10,Bolivia,BOL,0,0,D,,
KOR,South Korea,1994,group,11,Germany,GER,2,3,L,,
KOR,South Korea,1998,group,12,Mexico,MEX,1,3,L,,
KOR,South Korea,1998,group,13,Netherlands,NED,0,5,L,,
KOR,South Korea,1998,group,14,Belgium,BEL,1,1,D,,
KOR,South Korea,2002,group,15,Poland,POL,2,0,W,,
KOR,South Korea,2002,group,16,United States,USA,1,1,D,,
KOR,South Korea,2002,group,17,Portugal,POR,1,0,W,,
KOR,South Korea,2002,r16,18,Italy,ITA,2,1,W,,
KOR,South Korea,2002,qf,19,Spain,ESP,0,0,D,,
KOR,South Korea,2002,sf,20,Germany,GER,0,1,L,,
KOR,South Korea,2002,third,21,Turkey,TUR,2,3,L,,
KOR,South Korea,2006,group,22,Togo,TGO,2,1,W,,
KOR,South Korea,2006,group,23,France,FRA,1,1,D,,
KOR,South Korea,2006,group,24,Switzerland,SUI,0,2,L,,
KOR,South Korea,2010,group,25,Greece,GRC,2,0,W,,
KOR,South Korea,2010,group,26,Argentina,ARG,1,4,L,,
KOR,South Korea,2010,group,27,Nigeria,NGA,2,2,D,,
KOR,South Korea,2010,r16,28,Uruguay,URU,1,2,L,,
KOR,South Korea,2014,group,29,Russia,RUS,1,1,D,,
KOR,South Korea,2014,group,30,Algeria,DZA,2,4,L,,
KOR,South Korea,2014,group,31,Belgium,BEL,0,1,L,,
KOR,South Korea,2018,group,32,Sweden,SWE,0,1,L,,
KOR,South Korea,2018,group,33,Mexico,MEX,1,2,L,,
KOR,South Korea,2018,group,34,Germany,GER,2,0,W,,
KOR,South Korea,2022,group,35,Uruguay,URU,0,0,D,,
KOR,South Korea,2022,group,36,Ghana,GHA,2,3,L,,
KOR,South Korea,2022,group,37,Portugal,POR,2,1,W,,
KOR,South Korea,2022,r16,38,Brazil,BRA,1,4,L,,
