code,player,wc_goals,wc_assists,wc_apps,years,note
KOR,Jung-hwan Ahn,3,,,2002;2006,
KOR,Ji-sung Park,3,,,2002;2006;2010,
KOR,Heung-min Son,3,,,2014;2018,
KOR,Myung-bo Hong,2,,,1994,
KOR,Sun-hong Hwang,2,,,1994;2002,
KOR,Sang-chul Yoo,2,,,1998;2002,
KOR,Jung-soo Lee,2,,,2010,
KOR,Chu-young Park,2,,,2010,
KOR,Chung-yong Lee,2,,,2010,
KOR,Young-gwon Kim,2,,,2018;2022,
KOR,Cho Gue-sung,2,,,2022,
KOR,Chang-sun Park,1,,,1986,
KOR,Jong-boo Kim,1,,,1986,
KOR,Soon-ho Choi,1,,,1986,
KOR,Kwang-rae Cho,1,,,1986,
KOR,Jung-moo Huh,1,,,1986,
KOR,Kwan Hwangbo,1,,,1990,
KOR,Jung-won Seo,1,,,1994,
KOR,Seok-ju Ha,1,,,1998,
KOR,Ki-hyeon Seol,1,,,2002,
KOR,Eul-yong Lee,1,,,2002,
KOR,Chong-gug Song,1,,,2002,
KOR,Chun-soo Lee,1,,,2006,
KOR,Keun-ho Lee,1,,,2014,
KOR,Ja-cheol Koo,1,,,2014,
KOR,Hee-chan Hwang,1,,,2022,
KOR,Paik Seung-ho,1,,,2022,
