code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
KSA,Saudi Arabia,1994,group,1,Netherlands,NED,1,2,L,,
KSA,Saudi Arabia,1994,group,2,Morocco,MAR,2,1,W,,
KSA,Saudi Arabia,1994,group,3,Belgium,BEL,1,0,W,,
KSA,Saudi Arabia,1994,r16,4,Sweden,SWE,1,3,L,,
KSA,Saudi Arabia,1998,group,5,Denmark,DEN,0,1,L,,
KSA,Saudi Arabia,1998,group,6,France,FRA,0,4,L,,
KSA,Saudi Arabia,1998,group,7,South Africa,RSA,2,2,D,,
KSA,Saudi Arabia,2002,group,8,Germany,GER,0,8,L,,
KSA,Saudi Arabia,2002,group,9,Cameroon,CMR,0,1,L,,
KSA,Saudi Arabia,2002,group,10,Republic of Ireland,IRL,0,3,L,,
KSA,Saudi Arabia,2006,group,11,Tunisia,TUN,2,2,D,,
KSA,Saudi Arabia,2006,group,12,Ukraine,UKR,0,4,L,,
KSA,Saudi Arabia,2006,group,13,Spain,ESP,0,1,L,,
KSA,Saudi Arabia,2018,group,14,Russia,RUS,0,5,L,,
KSA,Saudi Arabia,2018,group,15,Uruguay,URU,0,1,L,,
KSA,Saudi Arabia,2018,group,16,Egypt,EGY,2,1,W,,
KSA,Saudi Arabia,2022,group,17,Argentina,ARG,2,1,W,,
KSA,Saudi Arabia,2022,group,18,Poland,POL,0,2,L,,
KSA,Saudi Arabia,2022,group,19,Mexico,MEX,1,2,L,,
