code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
MAR,Morocco,1970,group,1,West Germany,GER,1,2,L,,
MAR,Morocco,1970,group,2,Peru,PER,0,3,L,,
MAR,Morocco,1970,group,3,Bulgaria,BGR,1,1,D,,
MAR,Morocco,1986,group,4,Poland,POL,0,0,D,,
MAR,Morocco,1986,group,5,England,ENG,0,0,D,,
MAR,Morocco,1986,group,6,Portugal,POR,3,1,W,,
MAR,Morocco,1986,r16,7,West Germany,GER,0,1,L,,
MAR,Morocco,1994,group,8,Belgium,BEL,0,1,L,,
MAR,Morocco,1994,group,9,Saudi Arabia,KSA,1,2,L,,
MAR,Morocco,1994,group,10,Netherlands,NED,1,2,L,,
MAR,Morocco,1998,group,11,Norway,NOR,2,2,D,,
MAR,Morocco,1998,group,12,Brazil,BRA,0,3,L,,
MAR,Morocco,1998,group,13,Scotland,SCO,3,0,W,,
MAR,Morocco,2018,group,14,Iran,IRN,0,1,L,,
MAR,Morocco,2018,group,15,Portugal,POR,0,1,L,,
MAR,Morocco,2018,group,16,Spain,ESP,2,2,D,,
MAR,Morocco,2022,group,17,Croatia,CRO,0,0,D,,
MAR,Morocco,2022,group,18,Belgium,BEL,2,0,W,,
MAR,Morocco,2022,group,19,Canada,CAN,2,1,W,,
MAR,Morocco,2022,r16,20,Spain,ESP,0,0,D,,
MAR,Morocco,2022,qf,21,Portugal,POR,1,0,W,,
MAR,Morocco,2022,sf,22,France,FRA,0,2,L,,
MAR,Morocco,2022,third,23,Croatia,CRO,1,2,L,,
