code,player,wc_goals,wc_assists,wc_apps,years,note
MAR,Youssef En-Nesyri,3,,,2018;2022,
MAR,Abderrazak Khairi,2,,,1986,
MAR,Abdeljalil Hadda,2,,,1998,
MAR,Salaheddine Bassir,2,,,1998,
MAR,Houmane Jarir,1,,,1970,
MAR,Maouhoub Ghazouani,1,,,1970,
MAR,Abdelkrim Merry,1,,,1986,
MAR,Mohammed Chaouch,1,,,1994,
MAR,Hassan Nader,1,,,1994,
MAR,Mustapha Hadji,1,,,1998,
MAR,Youssef Chippo,1,,,1998,
MAR,Aziz Bouhaddouz,1,,,2018,
MAR,Khalid Boutaïb,1,,,2018,
MAR,Romain Saïss,1,,,2022,
MAR,Zakaria Aboukhlal,1,,,2022,
MAR,Hakim Ziyech,1,,,2022,
MAR,Nayef Aguerd,1,,,2022,
MAR,Achraf Dari,1,,,2022,
