code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
MEX,Mexico,1930,group,1,France,FRA,1,4,L,,
MEX,Mexico,1930,group,2,Chile,CHL,0,3,L,,
MEX,Mexico,1930,group,3,Argentina,ARG,3,6,L,,
MEX,Mexico,1950,group,4,Brazil,BRA,0,4,L,,
MEX,Mexico,1950,group,5,Yugoslavia,YUG,1,4,L,,
MEX,Mexico,1950,group,6,Switzerland,SUI,1,2,L,,
MEX,Mexico,1954,group,7,Brazil,BRA,0,5,L,,
MEX,Mexico,1954,group,8,France,FRA,2,3,L,,
MEX,Mexico,1958,group,9,Sweden,SWE,0,3,L,,
MEX,Mexico,1958,group,10,Wales,WAL,1,1,D,,
MEX,Mexico,1958,group,11,Hungary,HUN,0,4,L,,
MEX,Mexico,1962,group,12,Brazil,BRA,0,2,L,,
MEX,Mexico,1962,group,13,Spain,ESP,0,1,L,,
MEX,Mexico,1962,group,14,Czechoslovakia,CSK,3,1,W,,
MEX,Mexico,1966,group,15,France,FRA,1,1,D,,
MEX,Mexico,1966,group,16,England,ENG,0,2,L,,
MEX,Mexico,1966,group,17,Uruguay,URU,0,0,D,,
MEX,Mexico,1970,group,18,Soviet Union,SUN,0,0,D,,
MEX,Mexico,1970,group,19,El Salvador,SLV,4,0,W,,
MEX,Mexico,1970,group,20,Belgium,BEL,1,0,W,,
MEX,Mexico,1970,qf,21,Italy,ITA,1,4,L,,
MEX,Mexico,1978,group,22,Tunisia,TUN,1,3,L,,
MEX,Mexico,1978,group,23,West Germany,GER,0,6,L,,
MEX,Mexico,1978,group,24,Poland,POL,1,3,L,,
MEX,Mexico,1986,group,25,Belgium,BEL,2,1,W,,
MEX,Mexico,1986,group,26,Paraguay,PRY,1,1,D,,
MEX,Mexico,1986,group,27,Iraq,IRQ,1,0,W,,
MEX,Mexico,1986,r16,28,Bulgaria,BGR,2,0,W,,
MEX,Mexico,1986,qf,29,West Germany,GER,0,0,D,,
MEX,Mexico,1994,group,30,Norway,NOR,0,1,L,,
MEX,Mexico,1994,group,31,Republic of Ireland,IRL,2,1,W,,
MEX,Mexico,1994,group,32,Italy,ITA,1,1,D,,
MEX,Mexico,1994,r16,33,Bulgaria,BGR,1,1,D,,
MEX,Mexico,1998,group,34,South Korea,KOR,3,1,W,,
MEX,Mexico,1998,group,35,Belgium,BEL,2,2,D,,
MEX,Mexico,1998,group,36,Netherlands,NED,2,2,D,,
MEX,Mexico,1998,r16,37,Germany,GER,1,2,L,,
MEX,Mexico,2002,group,38,Croatia,CRO,1,0,W,,
MEX,Mexico,2002,group,39,Ecuador,ECU,2,1,W,,
MEX,Mexico,2002,group,40,Italy,ITA,1,1,D,,
MEX,Mexico,2002,r16,41,United States,USA,0,2,L,,
MEX,Mexico,2006,group,42,Iran,IRN,3,1,W,,
MEX,Mexico,2006,group,43,Angola,AGO,0,0,D,,
MEX,Mexico,2006,group,44,Portugal,POR,1,2,L,,
MEX,Mexico,2006,r16,45,Argentina,ARG,1,2,L,,
MEX,Mexico,2010,group,46,South Africa,RSA,1,1,D,,
MEX,Mexico,2010,group,47,France,FRA,2,0,W,,
MEX,Mexico,2010,group,48,Uruguay,URU,0,1,L,,
MEX,Mexico,2010,r16,49,Argentina,ARG,1,3,L,,
MEX,Mexico,2014,group,50,Cameroon,CMR,1,0,W,,
MEX,Mexico,2014,group,51,Brazil,BRA,0,0,D,,
MEX,Mexico,2014,group,52,Croatia,CRO,3,1,W,,
MEX,Mexico,2014,r16,53,Netherlands,NED,1,2,L,,
MEX,Mexico,2018,group,54,Germany,GER,1,0,W,,
MEX,Mexico,2018,group,55,South Korea,KOR,2,1,W,,
MEX,Mexico,2018,group,56,Sweden,SWE,0,3,L,,
MEX,Mexico,2018,r16,57,Brazil,BRA,0,2,L,,
MEX,Mexico,2022,group,58,Poland,POL,0,0,D,,
MEX,Mexico,2022,group,59,Argentina,ARG,0,2,L,,
MEX,Mexico,2022,group,60,Saudi Arabia,KSA,2,1,W,,
