code,player,wc_goals,wc_assists,wc_apps,years,note
MEX,Luis Hernández,4,,,1998,
MEX,Javier Hernández,4,,,2010;2014;2018,
MEX,Manuel Rosas,3,,,1930,
MEX,Cuauhtémoc Blanco,3,,,1998;2002;2010,
MEX,Rafael Márquez,3,,,2006;2010;2014,
MEX,Javier Valdivia,2,,,1970,
MEX,Fernando Quirarte,2,,,1986,
MEX,Luis García Postigo,2,,,1994,
MEX,Alberto García Aspe,2,,,1994;1998,
MEX,Ricardo Peláez,2,,,1998,
MEX,Jared Borgetti,2,,,2002,
MEX,Omar Bravo,2,,,2006,
MEX,Juan Carreño,1,,,1930,
MEX,Roberto Gayón,1,,,1930,
MEX,Héctor Ortiz,1,,,1950,
MEX,Horacio Casarín,1,,,1950,
MEX,Raúl Cárdenas,1,,,1954,
MEX,José Luis Lamadrid,1,,,1954,
MEX,Tomás Balcázar,1,,,1954,
MEX,Jaime Belmonte,1,,,1958,
MEX,Isidoro Díaz,1,,,1962,
MEX,Alfredo del Águila,1,,,1962,
MEX,Héctor Hernández,1,,,1962,
MEX,Enrique Borja,1,,,1966,
MEX,Javier Fragoso,1,,,1970,
MEX,Juan Ignacio Basaguren,1,,,1970,
MEX,Gustavo Peña,1,,,1970,
MEX,José Luis González,1,,,1970,
MEX,Javier Guzmán,1,,,1970,
MEX,Arturo Vázquez Ayala,1,,,1978,
MEX,Víctor Rangel,1,,,1978,
MEX,Hugo Sánchez,1,,,1986,
MEX,Luis Flores,1,,,1986,
MEX,Manuel Negrete,1,,,1986,
MEX,Raúl Servín,1,,,1986,
MEX,Marcelino Bernal,1,,,1994,
MEX,Gerardo Torrado,1,,,2002,
MEX,Sinha,1,,,2006,
MEX,Francisco Fonseca,1,,,2006,
MEX,Oribe Peralta,1,,,2014,
MEX,Andrés Guardado,1,,,2014,
MEX,Giovani dos Santos,1,,,2014,
MEX,Hirving Lozano,1,,,2018,
MEX,Carlos Vela,1,,,2018,
MEX,Edson Álvarez,1,,,2018,
MEX,Henry Martín,1,,,2022,
MEX,Luis Chávez,1,,,2022,
