code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
NED,Netherlands,1934,r16,1,Switzerland,SUI,2,3,L,,
NED,Netherlands,1938,r16,2,Czechoslovakia,CSK,0,3,L,,
NED,Netherlands,1974,group,3,Uruguay,URU,2,0,W,,
NED,Netherlands,1974,group,4,Sweden,SWE,0,0,D,,
NED,Netherlands,1974,group,5,Bulgaria,BGR,4,1,W,,
NED,Netherlands,1974,group2,6,Argentina,ARG,4,0,W,,
NED,Netherlands,1974,group2,7,East Germany,DDR,2,0,W,,
NED,Netherlands,1974,group2,8,Brazil,BRA,2,0,W,,
NED,Netherlands,1974,final,9,West Germany,GER,1,2,L,,
NED,Netherlands,1978,group,10,Iran,IRN,3,0,W,,
NED,Netherlands,1978,group,11,Peru,PER,0,0,D,,
NED,Netherlands,1978,group,12,Scotland,SCO,2,3,L,,
NED,Netherlands,1978,group2,13,Austria,AUT,5,1,W,,
NED,Netherlands,1978,group2,14,West Germany,GER,2,2,D,,
NED,Netherlands,1978,group2,15,Italy,ITA,2,1,W,,
NED,Netherlands,1978,final,16,Argentina,ARG,1,3,L,,
NED,Netherlands,1990,group,17,Egypt,EGY,1,1,D,,
NED,Netherlands,1990,group,18,England,ENG,0,0,D,,
NED,Netherlands,1990,group,19,Republic of Ireland,IRL,1,1,D,,
NED,Netherlands,1990,r16,20,West Germany,GER,1,2,L,,
NED,Netherlands,1994,group,21,Saudi Arabia,KSA,2,1,W,,
NED,Netherlands,1994,group,22,Belgium,BEL,0,1,L,,
NED,Netherlands,1994,group,23,Morocco,MAR,2,1,W,,
NED,Netherlands,1994,r16,24,Republic of Ireland,IRL,2,0,W,,
NED,Netherlands,1994,qf,25,Brazil,BRA,2,3,L,,
NED,Netherlands,1998,group,26,Belgium,BEL,0,0,D,,
NED,Netherlands,1998,group,27,South Korea,KOR,5,0,W,,
NED,Netherlands,1998,group,28,Mexico,MEX,2,2,D,,
NED,Netherlands,1998,r16,29,Yugoslavia,YUG,2,1,W,,
NED,Netherlands,1998,qf,30,Argentina,ARG,2,1,W,,
NED,Netherlands,1998,sf,31,Brazil,BRA,1,1,D,,
NED,Netherlands,1998,third,32,Croatia,CRO,1,2,L,,
NED,Netherlands,2006,group,33,Serbia and Montenegro,SCG,1,0,W,,
NED,Netherlands,2006,group,34,Ivory Coast,CIV,2,1,W,,
NED,Netherlands,2006,group,35,Argentina,ARG,0,0,D,,
NED,Netherlands,2006,r16,36,Portugal,POR,0,1,L,,
NED,Netherlands,2010,group,37,Denmark,DEN,2,0,W,,
NED,Netherlands,2010,group,38,Japan,JPN,1,0,W,,
NED,Netherlands,2010,group,39,Cameroon,CMR,2,1,W,,
NED,Netherlands,2010,r16,40,Slovakia,SVK,2,1,W,,
NED,Netherlands,2010,qf,41,Brazil,BRA,2,1,W,,
NED,Netherlands,2010,sf,42,Uruguay,URU,3,2,W,,
NED,Netherlands,2010,final,43,Spain,ESP,0,1,L,,
NED,Netherlands,2014,group,44,Spain,ESP,5,1,W,,
NED,Netherlands,2014,group,45,Australia,AUS,3,2,W,,
NED,Netherlands,2014,group,46,Chile,CHL,2,0,W,,
NED,Netherlands,2014,r16,47,Mexico,MEX,2,1,W,,
NED,Netherlands,2014,qf,48,Costa Rica,CRI,0,0,D,,
NED,Netherlands,2014,sf,49,Argentina,ARG,0,0,D,,
NED,Netherlands,2014,third,50,Brazil,BRA,3,0,W,,
NED,Netherlands,2022,group,51,Senegal,SEN,2,0,W,,
NED,Netherlands,2022,group,52,Ecuador,ECU,1,1,D,,
NED,Netherlands,2022,group,53,Qatar,QAT,2,0,W,,
NED,Netherlands,2022,r16,54,United States,USA,3,1,W,,
NED,Netherlands,2022,qf,55,Argentina,ARG,2,2,D,,
