code,player,wc_goals,wc_assists,wc_apps,years,note
NED,Johnny Rep,7,,,1974;1978,
NED,Rob Rensenbrink,6,,,1974;1978,
NED,Dennis Bergkamp,6,,,1994;1998,
NED,Arjen Robben,6,,,2006;2010;2014,
NED,Robin van Persie,6,,,2006;2010;2014,
NED,Wesley Sneijder,6,,,2010;2014,
NED,Johan Neeskens,5,,,1974,
NED,Johan Cruyff,3,,,1974,
NED,Ernie Brandts,3,,,1978,
NED,Memphis Depay,3,,,2014;2022,
NED,Cody Gakpo,3,,,2022,
NED,Ruud Krol,2,,,1974,
NED,Arie Haan,2,,,1978,
NED,Wim Jonk,2,,,1994,
NED,Phillip Cocu,2,,,1998,
NED,Ronald de Boer,2,,,1998,
NED,Patrick Kluivert,2,,,1998,
NED,Klaas-Jan Huntelaar,2,,,2010;2014,
NED,Daley Blind,2,,,2014;2022,
NED,Wout Weghorst,2,,,2022,
NED,Kick Smit,1,,,1934,
NED,Leen Vente,1,,,1934,
NED,Theo de Jong,1,,,1974,
NED,Willy van de Kerkhof,1,,,1978,
NED,René van de Kerkhof,1,,,1978,
NED,Dick Nanninga,1,,,1978,
NED,Wim Kieft,1,,,1990,
NED,Ruud Gullit,1,,,1990,
NED,Ronald Koeman,1,,,1990,
NED,Gaston Taument,1,,,1994,
NED,Bryan Roy,1,,,1994,
NED,Aron Winter,1,,,1994,
NED,Marc Overmars,1,,,1998,
NED,Pierre van Hooijdonk,1,,,1998,
NED,Edgar Davids,1,,,1998,
NED,Boudewijn Zenden,1,,,1998,
NED,Ruud van Nistelrooy,1,,,2006,
NED,Dirk Kuyt,1,,,2010,
NED,Giovanni van Bronckhorst,1,,,2010,
NED,Stefan de Vrij,1,,,2014,
NED,Leroy Fer,1,,,2014,
NED,Georginio Wijnaldum,1,,,2014,
NED,Davy Klaassen,1,,,2022,
NED,Frenkie de Jong,1,,,2022,
NED,Denzel Dumfries,1,,,2022,
