code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
NGA,Nigeria,1994,group,1,Bulgaria,BGR,3,0,W,,
NGA,Nigeria,1994,group,2,Argentina,ARG,1,2,L,,
NGA,Nigeria,1994,group,3,Greece,GRC,2,0,W,,
NGA,Nigeria,1994,r16,4,Italy,ITA,1,2,L,,
NGA,Nigeria,1998,group,5,Spain,ESP,3,2,W,,
NGA,Nigeria,1998,group,6,Bulgaria,BGR,1,0,W,,
NGA,Nigeria,1998,group,7,Paraguay,PRY,1,3,L,,
NGA,Nigeria,1998,r16,8,Denmark,DEN,1,4,L,,
NGA,Nigeria,2002,group,9,Argentina,ARG,0,1,L,,
NGA,Nigeria,2002,group,10,Sweden,SWE,1,2,L,,
NGA,Nigeria,2002,group,11,England,ENG,0,0,D,,
NGA,Nigeria,2010,group,12,Argentina,ARG,0,1,L,,
NGA,Nigeria,2010,group,13,Greece,GRC,1,2,L,,
NGA,Nigeria,2010,group,14,South Korea,KOR,2,2,D,,
NGA,Nigeria,2014,group,15,Iran,IRN,0,0,D,,
NGA,Nigeria,2014,group,16,Bosnia and Herzegovina,BIH,1,0,W,,
NGA,Nigeria,2014,group,17,Argentina,ARG,2,3,L,,
NGA,Nigeria,2014,r16,18,France,FRA,0,2,L,,
NGA,Nigeria,2018,group,19,Croatia,CRO,0,2,L,,
NGA,Nigeria,2018,group,20,Iceland,ISL,2,0,W,,
NGA,Nigeria,2018,group,21,Argentina,ARG,1,2,L,,
