code,player,wc_goals,wc_assists,wc_apps,years,note
NGA,Ahmed Musa,4,,,2014;2018,
NGA,Daniel Amokachi,2,,,1994,
NGA,Emmanuel Amunike,2,,,1994,
NGA,Kalu Uche,2,,,2010,
NGA,Rashidi Yekini,1,,,1994,
NGA,Samson Siasia,1,,,1994,
NGA,Finidi George,1,,,1994,
NGA,Mutiu Adepoju,1,,,1998,
NGA,Sunday Oliseh,1,,,1998,
NGA,Victor Ikpeba,1,,,1998,
NGA,Wilson Oruma,1,,,1998,
NGA,Tijani Babangida,1,,,1998,
NGA,Julius Aghahowa,1,,,2002,
NGA,Yakubu,1,,,2010,
NGA,Peter Odemwingie,1,,,2014,
NGA,Joseph Yobo,1,,,2014,
NGA,Peter Etebo,1,,,2018,
NGA,Victor Moses,1,,,2018,
