code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
NIR,Northern Ireland,1958,group,1,Czechoslovakia,CSK,1,0,W,,
NIR,Northern Ireland,1958,group,2,Argentina,ARG,1,3,L,,
NIR,Northern Ireland,1958,group,3,West Germany,GER,2,2,D,,
NIR,Northern Ireland,1958,group,4,Czechoslovakia,CSK,2,1,W,,
NIR,Northern Ireland,1958,qf,5,France,FRA,0,4,L,,
NIR,Northern Ireland,1982,group,6,Yugoslavia,YUG,0,0,D,,
NIR,Northern Ireland,1982,group,7,Honduras,HND,1,1,D,,
NIR,Northern Ireland,1982,group,8,Spain,ESP,1,0,W,,
NIR,Northern Ireland,1982,group2,9,Austria,AUT,2,2,D,,
NIR,Northern Ireland,1982,group2,10,France,FRA,1,4,L,,
NIR,Northern Ireland,1986,group,11,Algeria,DZA,1,1,D,,
NIR,Northern Ireland,1986,group,12,Spain,ESP,1,2,L,,
NIR,Northern Ireland,1986,group,13,Brazil,BRA,0,3,L,,
