code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
PER,Peru,1930,group,1,Romania,ROU,1,3,L,,
PER,Peru,1930,group,2,Uruguay,URU,0,1,L,,
PER,Peru,1970,group,3,Bulgaria,BGR,3,2,W,,
PER,Peru,1970,group,4,Morocco,MAR,3,0,W,,
PER,Peru,1970,group,5,West Germany,GER,1,3,L,,
PER,Peru,1970,qf,6,Brazil,BRA,2,4,L,,
PER,Peru,1978,group,7,Scotland,SCO,3,1,W,,
PER,Peru,1978,group,8,Netherlands,NED,0,0,D,,
PER,Peru,1978,group,9,Iran,IRN,4,1,W,,
PER,Peru,1978,group2,10,Brazil,BRA,0,3,L,,
PER,Peru,1978,group2,11,Poland,POL,0,1,L,,
PER,Peru,1978,group2,12,Argentina,ARG,0,6,L,,
PER,Peru,1982,group,13,Cameroon,CMR,0,0,D,,
PER,Peru,1982,group,14,Italy,ITA,1,1,D,,
PER,Peru,1982,group,15,Poland,POL,1,5,L,,
PER,Peru,2018,group,16,Denmark,DEN,0,1,L,,
PER,Peru,2018,group,17,France,FRA,0,1,L,,
PER,Peru,2018,group,18,Australia,AUS,2,0,W,,
