code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
POL,Poland,1938,r16,1,Brazil,BRA,5,6,L,,
POL,Poland,1974,group,2,Argentina,ARG,3,2,W,,
POL,Poland,1974,group,3,Haiti,HTI,7,0,W,,
POL,Poland,1974,group,4,Italy,ITA,2,1,W,,
POL,Poland,1974,group2,5,Sweden,SWE,1,0,W,,
POL,Poland,1974,group2,6,Yugoslavia,YUG,2,1,W,,
POL,Poland,1974,group2,7,West Germany,GER,0,1,L,,
POL,Poland,1974,third,8,Brazil,BRA,1,0,W,,
POL,Poland,1978,group,9,West Germany,GER,0,0,D,,
POL,Poland,1978,group,10,Tunisia,TUN,1,0,W,,
POL,Poland,1978,group,11,Mexico,MEX,3,1,W,,
POL,Poland,1978,group2,12,Argentina,ARG,0,2,L,,
POL,Poland,1978,group2,13,Peru,PER,1,0,W,,
POL,Poland,1978,group2,14,Brazil,BRA,1,3,L,,
POL,Poland,1982,group,15,Italy,ITA,0,0,D,,
POL,Poland,1982,group,16,Cameroon,CMR,0,0,D,,
POL,Poland,1982,group,17,Peru,PER,5,1,W,,
POL,Poland,1982,group2,18,Belgium,BEL,3,0,W,,
POL,Poland,1982,group2,19,Soviet Union,SUN,0,0,D,,
POL,Poland,1982,sf,20,Italy,ITA,0,2,L,,
POL,Poland,1982,third,21,France,FRA,3,2,W,,
POL,Poland,1986,group,22,Morocco,MAR,0,0,D,,
POL,Poland,1986,group,23,Portugal,POR,1,0,W,,
POL,Poland,1986,group,24,England,ENG,0,3,L,,
POL,Poland,1986,r16,25,Brazil,BRA,0,4,L,,
POL,Poland,2002,group,26,South Korea,KOR,0,2,L,,
POL,Poland,2002,group,27,Portugal,POR,0,4,L,,
POL,Poland,2002,group,28,United States,USA,3,1,W,,
POL,Poland,2006,group,29,Ecuador,ECU,0,2,L,,
POL,Poland,2006,group,30,Germany,GER,0,1,L,,
POL,Poland,2006,group,31,Costa Rica,CRI,2,1,W,,
POL,Poland,2018,group,32,Senegal,SEN,1,2,L,,
POL,Poland,2018,group,33,Colombia,COL,0,3,L,,
POL,Poland,2018,group,34,Japan,JPN,1,0,W,,
POL,Poland,2022,group,35,Mexico,MEX,0,0,D,,
POL,Poland,2022,group,36,Saudi Arabia,KSA,2,0,W,,
POL,Poland,2022,group,37,Argentina,ARG,0,2,L,,
POL,Poland,2022,r16,38,France,FRA,1,3,L,,
