code,player,wc_goals,wc_assists,wc_apps,years,note
POL,Grzegorz Lato,10,,,1974;1978;1982,
POL,Andrzej Szarmach,7,,,1974;1978;1982,
POL,Zbigniew Boniek,6,,,1978;1982,
POL,Ernst Wilimowski,4,,,1938,
POL,Kazimierz Deyna,4,,,1974;1978,
POL,Włodzimierz Smolarek,2,,,1982;1986,
POL,Bartosz Bosacki,2,,,2006,
POL,Robert Lewandowski,2,,,2022,
POL,Fryderyk Scherfke,1,,,1938,
POL,Jerzy Gorgoń,1,,,1974,
POL,Andrzej Buncol,1,,,1982,
POL,Włodzimierz Ciołek,1,,,1982,
POL,Stefan Majewski,1,,,1982,
POL,Janusz Kupcewicz,1,,,1982,
POL,Emmanuel Olisadebe,1,,,2002,
POL,Paweł Kryszałowicz,1,,,2002,
POL,Marcin Żewłakow,1,,,2002,
POL,Thiago Cionek,1,,,2018,
POL,Grzegorz Krychowiak,1,,,2018,
POL,Jan Bednarek,1,,,2018,
POL,Piotr Zieliński,1,,,2022,
