code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
POR,Portugal,1966,group,1,Hungary,HUN,3,1,W,,
POR,Portugal,1966,group,2,Bulgaria,BGR,3,0,W,,
POR,Portugal,1966,group,3,Brazil,BRA,3,1,W,,
POR,Portugal,1966,qf,4,North Korea,PRK,5,3,W,,
POR,Portugal,1966,sf,5,England,ENG,1,2,L,,
POR,Portugal,1966,third,6,Soviet Union,SUN,2,1,W,,
POR,Portugal,1986,group,7,England,ENG,1,0,W,,
POR,Portugal,1986,group,8,Poland,POL,0,1,L,,
POR,Portugal,1986,group,9,Morocco,MAR,1,3,L,,
POR,Portugal,2002,group,10,United States,USA,2,3,L,,
POR,Portugal,2002,group,11,Poland,POL,4,0,W,,
POR,Portugal,2002,group,12,South Korea,KOR,0,1,L,,
POR,Portugal,2006,group,13,Angola,AGO,1,0,W,,
POR,Portugal,2006,group,14,Iran,IRN,2,0,W,,
POR,Portugal,2006,group,15,Mexico,MEX,2,1,W,,
POR,Portugal,2006,r16,16,Netherlands,NED,1,0,W,,
POR,Portugal,2006,qf,17,England,ENG,0,0,D,,
POR,Portugal,2006,sf,18,France,FRA,0,1,L,,
POR,Portugal,2006,third,19,Germany,GER,1,3,L,,
POR,Portugal,2010,group,20,Ivory Coast,CIV,0,0,D,,
POR,Portugal,2010,group,21,North Korea,PRK,7,0,W,,
POR,Portugal,2010,group,22,Brazil,BRA,0,0,D,,
POR,Portugal,2010,r16,23,Spain,ESP,0,1,L,,
POR,Portugal,2014,group,24,Germany,GER,0,4,L,,
POR,Portugal,2014,group,25,United States,USA,2,2,D,,
POR,Portugal,2014,group,26,Ghana,GHA,2,1,W,,
POR,Portugal,2018,group,27,Spain,ESP,3,3,D,,
POR,Portugal,2018,group,28,Morocco,MAR,1,0,W,,
POR,Portugal,2018,group,29,Iran,IRN,1,1,D,,
POR,Portugal,2018,r16,30,Uruguay,URU,1,2,L,,
POR,Portugal,2022,group,31,Ghana,GHA,3,2,W,,
POR,Portugal,2022,group,32,Uruguay,URU,2,0,W,,
POR,Portugal,2022,group,33,South Korea,KOR,1,2,L,,
POR,Portugal,2022,r16,34,Switzerland,SUI,6,1,W,,
POR,Portugal,2022,qf,35,Morocco,MAR,0,1,L,,
