code,player,wc_goals,wc_assists,wc_apps,years,note
POR,Eusébio,9,,,1966,
POR,Cristiano Ronaldo,8,,,2006;2010;2014;2018;2022,
POR,Pauleta,4,,,2002;2006,
POR,José Augusto,3,,,1966,
POR,José Torres,3,,,1966,
POR,Gonçalo Ramos,3,,,2022,
POR,Maniche,2,,,2006,
POR,Simão,2,,,2006;2010,
POR,Tiago,2,,,2010,
POR,Pepe,2,,,2018;2022,
POR,Rafael Leão,2,,,2022,
POR,Bruno Fernandes,2,,,2022,
POR,António Simões,1,,,1966,
POR,Carlos Manuel,1,,,1986,
POR,Diamantino,1,,,1986,
POR,Jorge Costa,1,,,2002,
POR,Beto,1,,,2002,
POR,Rui Costa,1,,,2002,
POR,Deco,1,,,2006,
POR,Petit,1,,,2006,
POR,Nuno Gomes,1,,,2006,
POR,Raul Meireles,1,,,2010,
POR,Hugo Almeida,1,,,2010,
POR,Liédson,1,,,2010,
POR,Nani,1,,,2014,
POR,Silvestre Varela,1,,,2014,
POR,Ricardo Quaresma,1,,,2018,
POR,João Félix,1,,,2022,
POR,Ricardo Horta,1,,,2022,
POR,Raphaël Guerreiro,1,,,2022,
